iter	Passed	Remaining
412	3513	22008
413	3524	22014
414	3530	21992
415	3537	21974
416	3544	21955
417	3553	21951
418	3560	21931
419	3567	21912
420	3573	21891
421	3579	21868
422	3586	21850
423	3595	21843
424	3601	21822
425	3609	21806
426	3615	21789
427	3622	21769
428	3629	21751
429	3637	21741
430	3644	21721
431	3652	21712
432	3660	21702
433	3667	21683
434	3676	21676
435	3683	21663
436	3695	21674
437	3702	21657
438	3708	21637
439	3718	21636
440	3725	21620
441	3732	21603
442	3739	21587
443	3746	21570
444	3755	21562
445	3762	21544
446	3768	21524
447	3775	21507
448	3783	21497
449	3790	21480
450	3798	21468
451	3805	21450
452	3815	21454
453	3823	21440
454	3829	21420
455	3839	21419
456	3850	21426
457	3857	21411
458	3864	21393
459	3871	21378
460	3880	21371
461	3887	21355
462	3894	21337
463	3901	21321
464	3907	21302
465	3915	21289
466	3923	21282
467	3931	21268
468	3939	21257
469	3952	21275
470	3961	21268
471	3968	21252
472	3975	21237
473	3986	21243
474	3993	21227
475	4002	21221
476	4008	21203
477	4018	21203
478	4026	21194
479	4034	21179
480	4043	21176
481	4052	21168
482	4059	21153
483	4065	21136
484	4072	21118
485	4084	21127
486	4091	21110
487	4097	21094
488	4104	21077
489	4113	21069
490	4121	21060
491	4129	21052
492	4137	21039
493	4144	21025
494	4153	21017
495	4160	21001
496	4167	20990
497	4174	20972
498	4181	20959
499	4190	20952
500	4197	20936
501	4205	20925
502	4213	20918
503	4224	20922
504	4231	20906
505	4238	20889
506	4247	20884
507	4254	20869
508	4260	20851
509	4267	20835
510	4274	20821
511	4281	20806
512	4289	20797
513	4297	20785
514	4304	20770
515	4314	20767
516	4320	20751
517	4328	20740
518	4335	20726
519	4344	20720
520	4351	20706
521	4358	20689
522	4366	20681
523	4374	20669
524	4382	20660
525	4389	20646
526	4397	20634
527	4404	20619
528	4412	20611
529	4419	20597
530	4426	20583
531	4433	20566
532	4447	20584
533	4454	20570
534	4462	20559
535	4468	20543
536	4476	20530
537	4485	20525
538	4493	20515
539	4501	20505
540	4510	20500
541	4519	20497
542	4530	20500
543	4539	20496
544	4548	20489
545	4557	20481
546	4564	20468
547	4577	20479
548	4584	20467
549	4591	20453
550	4599	20442
551	4607	20431
552	4614	20419
553	4621	20405
554	4628	20390
555	4635	20375
556	4645	20376
557	4653	20363
558	4660	20352
559	4667	20335
560	4674	20324
561	4682	20311
562	4689	20297
563	4697	20289
564	4705	20280
565	4715	20278
566	4722	20262
567	4729	20249
568	4737	20240
569	4748	20245
570	4755	20231
571	4762	20215
572	4770	20204
573	4778	20196
574	4785	20180
575	4792	20167
576	4798	20152
577	4805	20137
578	4812	20122
579	4819	20110
580	4826	20095
581	4833	20080
582	4841	20070
583	4847	20055
584	4855	20042
585	4862	20032
586	4873	20031
587	4880	20019
588	4887	20005
589	4894	19992
590	4902	19981
591	4911	19977
592	4918	19965
593	4926	19955
594	4933	19941
595	4941	19931
596	4947	19915
597	4954	19901
598	4961	19885
599	4968	19873
600	4977	19868
