Molecule,Selectivity 70%,Selectivity 80%,Selectivity 90%
CHEMBL1794073,18,13,4
CHEMBL588025,36,25,13
CHEMBL247228,29,19,7
CHEMBL1909359,26,18,6
CHEMBL207410,2,2,1
CHEMBL476351,2,0,0
CHEMBL495696,28,18,5
CHEMBL468963,43,30,23
CHEMBL1882194,14,8,2
CHEMBL365663,0,0,0
CHEMBL513330,2,1,1
CHEMBL251549,34,23,13
CHEMBL477978,0,0,0
CHEMBL517507,0,0,0
CHEMBL1909383,41,22,8
CHEMBL475761,4,4,2
CHEMBL306865,30,20,7
CHEMBL426800,0,0,0
CHEMBL361237,2,0,0
CHEMBL477979,0,0,0
CHEMBL185238,1,1,0
CHEMBL67241,16,7,0
CHEMBL205765,2,0,0
CHEMBL396107,24,15,5
CHEMBL273564,35,22,11
CHEMBL516908,1,0,0
CHEMBL517666,0,0,0
CHEMBL381604,1,0,0
CHEMBL359999,34,22,17
CHEMBL516248,1,1,1
CHEMBL359963,10,5,1
CHEMBL361894,25,22,10
CHEMBL188381,44,34,12
CHEMBL479038,0,0,0
CHEMBL207247,1,0,0
CHEMBL188426,1,1,1
CHEMBL442363,0,0,0
CHEMBL189353,26,17,6
CHEMBL365248,6,4,2
CHEMBL187081,27,15,8
CHEMBL66292,18,10,5
CHEMBL183993,2,1,1
CHEMBL204934,7,6,0
CHEMBL206010,25,19,8
CHEMBL69757,7,5,1
CHEMBL65884,8,6,0
CHEMBL189415,1,1,1
CHEMBL182283,0,0,0
CHEMBL495902,0,0,0
CHEMBL1909351,1,1,0
CHEMBL365297,29,15,5
CHEMBL362155,5,3,1
CHEMBL186213,3,2,1
CHEMBL188257,7,4,2
CHEMBL427159,4,3,0
CHEMBL185939,1,1,0
CHEMBL188784,0,0,0
CHEMBL189148,6,3,0
CHEMBL188794,1,1,1
CHEMBL305477,0,0,0
CHEMBL303687,5,2,0
CHEMBL434729,13,6,2
CHEMBL1909360,19,12,4
CHEMBL1909361,15,10,7
CHEMBL1909362,3,1,1
CHEMBL103104,2,1,0
CHEMBL103115,7,2,0
CHEMBL188247,0,0,0
CHEMBL189459,17,10,2
CHEMBL520037,4,2,0
CHEMBL514499,6,5,1
CHEMBL232601,0,0,0
CHEMBL514162,6,6,3
CHEMBL481510,1,1,1
CHEMBL480371,1,1,1
CHEMBL241517,20,14,9
CHEMBL519881,1,1,0
CHEMBL507329,4,2,0
CHEMBL486124,0,0,0
CHEMBL506153,14,5,3
CHEMBL14112,0,0,0
CHEMBL274863,0,0,0
CHEMBL1909407,2,2,0
CHEMBL95207,2,1,0
CHEMBL95502,1,0,0
CHEMBL1888586,5,2,2
CHEMBL330422,2,1,0
CHEMBL318892,5,4,1
CHEMBL275798,3,2,1
CHEMBL269450,2,2,2
CHEMBL275724,1,1,0
CHEMBL428877,3,1,1
CHEMBL13972,1,0,0
CHEMBL13868,1,1,1
CHEMBL273611,2,1,0
CHEMBL14014,1,1,0
CHEMBL417804,2,1,0
CHEMBL275666,1,0,0
CHEMBL1785004,1,1,0
CHEMBL418348,1,0,0
CHEMBL1785002,1,0,0
CHEMBL1785003,1,1,0
CHEMBL275200,3,3,2
CHEMBL275168,1,1,0
CHEMBL1909400,1,1,1
CHEMBL1909401,1,0,0
CHEMBL156524,0,0,0
CHEMBL397570,0,0,0
CHEMBL352222,2,2,0
CHEMBL160876,1,0,0
CHEMBL347580,0,0,0
CHEMBL156263,1,0,0
CHEMBL157258,0,0,0
CHEMBL160937,0,0,0
CHEMBL1909377,0,0,0
CHEMBL156987,2,0,0
CHEMBL160333,2,0,0
CHEMBL267228,1,1,1
CHEMBL1909378,0,0,0
CHEMBL399410,2,1,0
CHEMBL1909412,6,0,0
CHEMBL1909414,2,2,1
CHEMBL1909413,4,0,0
CHEMBL1794071,3,2,0
CHEMBL237570,3,3,1
CHEMBL237571,3,2,1
CHEMBL1909342,1,1,1
CHEMBL1909343,11,6,2
CHEMBL1909344,2,2,0
CHEMBL1794072,2,2,0
CHEMBL1909345,2,2,0
CHEMBL1909346,2,2,2
CHEMBL408732,0,0,0
CHEMBL260417,22,8,2
CHEMBL261129,5,2,0
CHEMBL1909347,5,3,0
CHEMBL405021,2,1,0
CHEMBL189231,19,12,5
CHEMBL261440,1,0,0
CHEMBL419903,1,0,0
CHEMBL188048,1,0,0
CHEMBL185962,10,4,1
CHEMBL188240,0,0,0
CHEMBL103098,0,0,0
CHEMBL185710,0,0,0
CHEMBL1909348,3,0,0
CHEMBL408564,1,1,0
CHEMBL407113,1,1,1
CHEMBL103080,0,0,0
CHEMBL102936,0,0,0
CHEMBL101804,0,0,0
CHEMBL187985,0,0,0
CHEMBL188268,11,10,4
CHEMBL365072,0,0,0
CHEMBL191105,0,0,0
CHEMBL1909376,0,0,0
CHEMBL1909384,15,10,2
CHEMBL233002,0,0,0
CHEMBL346551,0,0,0
CHEMBL1909406,0,0,0
CHEMBL266707,0,0,0
