Kin-Method,MSE,MAE,R2,Emission(kW)
RDKitDescriptorsResults/ACVR1_PLS,609.019390,16.575839,-0.055051,1.805317e-08
RDKitDescriptorsResults/ACVR1_PLS-SKLEARN,578.484351,16.029748,-0.002153,3.944494e-09
RDKitDescriptorsResults/ACVR1_XGBoost,567.946823,15.906084,0.016102,7.236318e-07
RDKitDescriptorsResults/ACVR1_CatBoost,495.558287,15.085063,0.141506,2.441586e-06
RDKitDescriptorsResults/ACVR1_DNN,531.990428,15.760662,0.078392,4.522924e-06
RDKitDescriptorsResults/ACVR2A_Linear-SVR,307.524883,6.743535,-0.131382,2.716571e-09
RDKitDescriptorsResults/ACVR2A_RBF-SVR,306.802775,6.731596,-0.128725,3.217319e-09
RDKitDescriptorsResults/ACVR2A_DecisionTree,519.980807,11.602460,-0.913005,1.539232e-09
RDKitDescriptorsResults/ACVR2A_ExtraTrees,260.445865,9.574915,0.041822,1.322477e-07
RDKitDescriptorsResults/ACVR2A_RandomForest,257.582337,9.472873,0.052357,3.551358e-07
RDKitDescriptorsResults/ACVR2A_KNeighbors,288.893940,9.952394,-0.062839,2.014583e-09
RDKitDescriptorsResults/ACVR2A_PLS,268.867729,9.836814,0.010838,1.834193e-08
RDKitDescriptorsResults/ACVR2A_PLS-SKLEARN,268.867729,9.836814,0.010838,3.811108e-09
RDKitDescriptorsResults/ACVR2A_XGBoost,299.438215,10.559046,-0.101631,7.050995e-07
RDKitDescriptorsResults/ACVR2A_CatBoost,263.740251,9.652792,0.029702,2.432588e-06
RDKitDescriptorsResults/ACVR2A_DNN,260.222775,9.478368,0.042642,4.441267e-06
RDKitDescriptorsResults/ACVR2B_Linear-SVR,535.499936,11.684619,-0.103479,2.494357e-09
RDKitDescriptorsResults/ACVR2B_RBF-SVR,573.473839,11.662388,-0.181730,3.127990e-09
RDKitDescriptorsResults/ACVR2B_DecisionTree,720.484188,15.964746,-0.484668,1.427219e-09
RDKitDescriptorsResults/ACVR2B_ExtraTrees,439.499659,13.866291,0.094344,1.160733e-07
RDKitDescriptorsResults/ACVR2B_RandomForest,468.800261,14.272100,0.033966,3.547183e-07
RDKitDescriptorsResults/ACVR2B_KNeighbors,469.421660,14.318873,0.032685,5.235343e-09
RDKitDescriptorsResults/ACVR2B_PLS,501.681246,15.439413,-0.033791,1.797211e-08
RDKitDescriptorsResults/ACVR2B_PLS-SKLEARN,496.624625,14.808953,-0.023371,4.043953e-09
RDKitDescriptorsResults/ACVR2B_XGBoost,448.465940,14.127280,0.075867,7.132586e-07
RDKitDescriptorsResults/ACVR2B_CatBoost,432.033193,13.700158,0.109730,2.489033e-06
RDKitDescriptorsResults/ACVR2B_DNN,480.626665,13.610692,0.009595,4.594396e-06
RDKitDescriptorsResults/ACVRL1_Linear-SVR,324.632408,7.471272,-0.192991,2.583246e-09
RDKitDescriptorsResults/ACVRL1_RBF-SVR,321.533620,7.498679,-0.181603,3.157243e-09
RDKitDescriptorsResults/ACVRL1_DecisionTree,457.561672,11.170603,-0.681492,1.461650e-09
RDKitDescriptorsResults/ACVRL1_ExtraTrees,283.141848,9.579498,-0.040517,1.162097e-07
RDKitDescriptorsResults/ACVRL1_RandomForest,277.693409,9.365830,-0.020495,3.585774e-07
RDKitDescriptorsResults/ACVRL1_KNeighbors,263.861547,8.567887,0.030336,3.267723e-09
RDKitDescriptorsResults/ACVRL1_PLS,285.291062,10.781008,-0.048415,1.784472e-08
RDKitDescriptorsResults/ACVRL1_PLS-SKLEARN,282.494945,10.048443,-0.038140,4.055581e-09
RDKitDescriptorsResults/ACVRL1_XGBoost,274.632878,9.936071,-0.009248,6.985766e-07
RDKitDescriptorsResults/ACVRL1_CatBoost,255.061583,9.226731,0.062675,2.389136e-06
RDKitDescriptorsResults/ACVRL1_DNN,297.613787,9.765152,-0.093700,4.211234e-06
RDKitDescriptorsResults/ADCK3_Linear-SVR,445.898125,12.176455,-0.067491,2.131338e-09
RDKitDescriptorsResults/ADCK3_RBF-SVR,479.412668,12.243796,-0.147725,3.234076e-09
RDKitDescriptorsResults/ADCK3_DecisionTree,580.740259,13.902868,-0.390306,1.608091e-09
RDKitDescriptorsResults/ADCK3_ExtraTrees,356.490102,12.036803,0.146554,1.208042e-07
RDKitDescriptorsResults/ADCK3_RandomForest,358.680645,12.245117,0.141310,3.549781e-07
RDKitDescriptorsResults/ADCK3_KNeighbors,384.208890,12.747418,0.080195,2.494335e-09
RDKitDescriptorsResults/ADCK3_PLS,374.044603,12.533887,0.104528,1.766337e-08
RDKitDescriptorsResults/ADCK3_PLS-SKLEARN,396.902489,12.564095,0.049806,3.911836e-09
RDKitDescriptorsResults/ADCK3_XGBoost,330.413479,12.029703,0.208982,6.884214e-07
RDKitDescriptorsResults/ADCK3_CatBoost,350.312636,11.990904,0.161343,2.422903e-06
RDKitDescriptorsResults/ADCK3_DNN,339.878224,12.437449,0.186323,4.173525e-06
RDKitDescriptorsResults/ADCK4_Linear-SVR,724.251390,18.362345,-0.035621,2.431419e-09
RDKitDescriptorsResults/ADCK4_RBF-SVR,794.308635,18.994931,-0.135797,3.174361e-09
RDKitDescriptorsResults/ADCK4_DecisionTree,691.258323,18.425460,0.011557,1.530636e-09
RDKitDescriptorsResults/ADCK4_ExtraTrees,555.051522,17.120142,0.206321,1.202979e-07
RDKitDescriptorsResults/ADCK4_RandomForest,547.237834,17.420883,0.217494,3.350122e-07
RDKitDescriptorsResults/ADCK4_KNeighbors,503.315134,16.273521,0.280300,4.624361e-09
RDKitDescriptorsResults/ADCK4_PLS,573.543253,18.283220,0.179880,1.794275e-08
RDKitDescriptorsResults/ADCK4_PLS-SKLEARN,600.528496,18.414668,0.141293,3.928188e-09
RDKitDescriptorsResults/ADCK4_XGBoost,583.320704,18.182945,0.165899,6.921635e-07
RDKitDescriptorsResults/ADCK4_CatBoost,513.014178,17.241478,0.266431,2.388758e-06
RDKitDescriptorsResults/ADCK4_DNN,481.538015,16.637621,0.311440,4.303675e-06
RDKitDescriptorsResults/AKT1_Linear-SVR,415.051761,7.240592,-0.096646,2.657333e-09
RDKitDescriptorsResults/AKT1_RBF-SVR,416.160161,7.202440,-0.099574,2.990248e-09
RDKitDescriptorsResults/AKT1_DecisionTree,344.146046,8.570533,0.090701,1.434373e-09
RDKitDescriptorsResults/AKT1_ExtraTrees,226.841234,7.860387,0.400642,1.187188e-07
RDKitDescriptorsResults/AKT1_RandomForest,272.438267,8.882817,0.280166,3.486636e-07
RDKitDescriptorsResults/AKT1_KNeighbors,241.407269,7.448920,0.362156,4.180555e-09
RDKitDescriptorsResults/AKT1_PLS,241.169133,9.531291,0.362785,1.860771e-08
RDKitDescriptorsResults/AKT1_PLS-SKLEARN,297.943460,10.734020,0.212777,4.054349e-09
RDKitDescriptorsResults/AKT1_XGBoost,182.987277,6.972642,0.516513,6.937687e-07
RDKitDescriptorsResults/AKT1_CatBoost,207.654678,7.126982,0.451337,2.285002e-06
RDKitDescriptorsResults/AKT1_DNN,188.289057,6.551472,0.502504,4.190221e-06
RDKitDescriptorsResults/AKT2_Linear-SVR,379.970008,9.809491,-0.156816,2.524693e-09
RDKitDescriptorsResults/AKT2_RBF-SVR,402.573537,9.865519,-0.225632,3.086198e-09
RDKitDescriptorsResults/AKT2_DecisionTree,384.851424,10.723945,-0.171677,1.505136e-09
RDKitDescriptorsResults/AKT2_ExtraTrees,287.306337,10.053829,0.125298,1.202076e-07
RDKitDescriptorsResults/AKT2_RandomForest,301.695638,10.179642,0.081490,3.486703e-07
RDKitDescriptorsResults/AKT2_KNeighbors,284.043698,9.996901,0.135231,3.097561e-09
RDKitDescriptorsResults/AKT2_PLS,307.630801,10.951392,0.063421,1.796495e-08
RDKitDescriptorsResults/AKT2_PLS-SKLEARN,319.284529,11.280687,0.027941,4.127668e-09
RDKitDescriptorsResults/AKT2_XGBoost,266.580568,10.318343,0.188398,6.925167e-07
RDKitDescriptorsResults/AKT2_CatBoost,309.634367,10.056853,0.057321,2.310157e-06
RDKitDescriptorsResults/AKT2_DNN,256.609989,9.490351,0.218753,4.376798e-06
RDKitDescriptorsResults/AKT3_Linear-SVR,550.300922,9.170746,-0.141564,2.544132e-09
RDKitDescriptorsResults/AKT3_RBF-SVR,551.005453,9.161002,-0.143026,2.956584e-09
RDKitDescriptorsResults/AKT3_DecisionTree,416.480867,9.970205,0.136037,1.525306e-09
RDKitDescriptorsResults/AKT3_ExtraTrees,288.006557,9.889584,0.402549,1.163801e-07
RDKitDescriptorsResults/AKT3_RandomForest,320.669834,10.318217,0.334791,3.458501e-07
RDKitDescriptorsResults/AKT3_KNeighbors,323.690237,10.009108,0.328525,3.736718e-09
RDKitDescriptorsResults/AKT3_PLS,342.304243,12.081767,0.289912,1.817195e-08
RDKitDescriptorsResults/AKT3_PLS-SKLEARN,364.263988,12.459127,0.244357,4.057456e-09
RDKitDescriptorsResults/AKT3_XGBoost,273.899189,9.621489,0.431813,6.911198e-07
RDKitDescriptorsResults/AKT3_CatBoost,272.722242,9.301450,0.434255,2.301764e-06
RDKitDescriptorsResults/AKT3_DNN,244.035968,8.364636,0.493763,4.160290e-06
RDKitDescriptorsResults/ALK_Linear-SVR,524.249764,16.355325,-0.153919,2.254378e-09
RDKitDescriptorsResults/ALK_RBF-SVR,507.655302,16.579321,-0.117393,3.268791e-09
RDKitDescriptorsResults/ALK_DecisionTree,541.523722,17.266758,-0.191940,1.479993e-09
RDKitDescriptorsResults/ALK_ExtraTrees,457.410924,15.827328,-0.006801,1.184732e-07
RDKitDescriptorsResults/ALK_RandomForest,460.546719,15.782755,-0.013703,3.416356e-07
RDKitDescriptorsResults/ALK_KNeighbors,482.254306,15.975587,-0.061483,4.665077e-09
RDKitDescriptorsResults/ALK_PLS,474.686032,16.144901,-0.044825,1.775620e-08
RDKitDescriptorsResults/ALK_PLS-SKLEARN,471.433810,16.422393,-0.037666,3.749756e-09
RDKitDescriptorsResults/ALK_XGBoost,485.702600,16.105818,-0.069073,6.746483e-07
RDKitDescriptorsResults/ALK_CatBoost,454.959664,15.768809,-0.001405,2.306287e-06
RDKitDescriptorsResults/ALK_DNN,447.974473,15.354002,0.013970,4.298896e-06
RDKitDescriptorsResults/AMPK-alpha1_Linear-SVR,473.126773,11.573129,-0.110297,2.282528e-09
RDKitDescriptorsResults/AMPK-alpha1_RBF-SVR,505.944297,11.468123,-0.187310,3.493407e-09
RDKitDescriptorsResults/AMPK-alpha1_DecisionTree,454.492067,12.467818,-0.066566,1.568691e-09
RDKitDescriptorsResults/AMPK-alpha1_ExtraTrees,395.661627,12.523363,0.071492,1.186321e-07
RDKitDescriptorsResults/AMPK-alpha1_RandomForest,390.062414,12.544286,0.084632,3.425356e-07
RDKitDescriptorsResults/AMPK-alpha1_KNeighbors,412.337181,12.126479,0.032359,3.994093e-09
RDKitDescriptorsResults/AMPK-alpha1_PLS,428.634546,13.453366,-0.005886,1.840800e-08
RDKitDescriptorsResults/AMPK-alpha1_PLS-SKLEARN,393.173261,12.995507,0.077332,3.981450e-09
RDKitDescriptorsResults/AMPK-alpha1_XGBoost,444.589045,13.729145,-0.043327,7.155930e-07
RDKitDescriptorsResults/AMPK-alpha1_CatBoost,380.183624,12.551346,0.107815,2.288735e-06
RDKitDescriptorsResults/AMPK-alpha1_DNN,425.524286,12.833664,0.001413,4.173146e-06
RDKitDescriptorsResults/AMPK-alpha2_Linear-SVR,430.327530,12.174173,-0.142276,2.487738e-09
RDKitDescriptorsResults/AMPK-alpha2_RBF-SVR,471.201569,12.133022,-0.250774,3.149752e-09
RDKitDescriptorsResults/AMPK-alpha2_DecisionTree,469.057349,13.982979,-0.245082,1.413569e-09
RDKitDescriptorsResults/AMPK-alpha2_ExtraTrees,338.783588,12.143877,0.100721,1.184807e-07
RDKitDescriptorsResults/AMPK-alpha2_RandomForest,343.312408,12.518039,0.088700,3.405541e-07
RDKitDescriptorsResults/AMPK-alpha2_KNeighbors,346.516892,11.949202,0.080194,3.160930e-09
RDKitDescriptorsResults/AMPK-alpha2_PLS,353.165048,12.874202,0.062547,1.773186e-08
RDKitDescriptorsResults/AMPK-alpha2_PLS-SKLEARN,352.626327,12.653502,0.063977,3.990558e-09
RDKitDescriptorsResults/AMPK-alpha2_XGBoost,322.558242,12.080541,0.143790,7.396778e-07
RDKitDescriptorsResults/AMPK-alpha2_CatBoost,304.400345,11.766668,0.191989,2.256920e-06
RDKitDescriptorsResults/AMPK-alpha2_DNN,318.035545,12.527539,0.155796,4.410890e-06
RDKitDescriptorsResults/ANKK1_Linear-SVR,379.025621,10.167717,-0.134619,2.309513e-09
RDKitDescriptorsResults/ANKK1_RBF-SVR,406.553559,10.069872,-0.217025,3.401464e-09
RDKitDescriptorsResults/ANKK1_DecisionTree,528.364874,13.504360,-0.581669,1.461480e-09
RDKitDescriptorsResults/ANKK1_ExtraTrees,341.721035,12.133835,-0.022948,1.156018e-07
RDKitDescriptorsResults/ANKK1_RandomForest,330.317797,11.801009,0.011188,3.427474e-07
RDKitDescriptorsResults/ANKK1_KNeighbors,361.764759,12.068357,-0.082949,3.996381e-09
RDKitDescriptorsResults/ANKK1_PLS,353.763908,12.832036,-0.058998,1.774204e-08
RDKitDescriptorsResults/ANKK1_PLS-SKLEARN,327.875750,11.627789,0.018499,3.802664e-09
RDKitDescriptorsResults/ANKK1_XGBoost,350.784559,12.228289,-0.050079,6.942564e-07
RDKitDescriptorsResults/ANKK1_CatBoost,325.404755,11.504732,0.025896,2.268499e-06
RDKitDescriptorsResults/ANKK1_DNN,403.938167,12.615781,-0.209196,4.182724e-06
RDKitDescriptorsResults/ARK5_Linear-SVR,484.975199,12.815633,-0.045389,2.437145e-09
RDKitDescriptorsResults/ARK5_RBF-SVR,522.996449,12.774863,-0.127346,3.357428e-09
RDKitDescriptorsResults/ARK5_DecisionTree,622.809091,14.913058,-0.342497,1.468065e-09
RDKitDescriptorsResults/ARK5_ExtraTrees,430.135001,13.566387,0.072822,1.198456e-07
RDKitDescriptorsResults/ARK5_RandomForest,420.576190,13.408311,0.093426,3.347767e-07
RDKitDescriptorsResults/ARK5_KNeighbors,471.717921,14.206854,-0.016813,4.195150e-09
RDKitDescriptorsResults/ARK5_PLS,430.738999,14.730374,0.071520,1.795360e-08
RDKitDescriptorsResults/ARK5_PLS-SKLEARN,441.174116,14.889485,0.049026,3.877345e-09
RDKitDescriptorsResults/ARK5_XGBoost,488.808027,15.013822,-0.053651,6.973265e-07
RDKitDescriptorsResults/ARK5_CatBoost,412.749417,13.065273,0.110297,2.333852e-06
RDKitDescriptorsResults/ARK5_DNN,421.556154,13.586897,0.091314,4.191948e-06
RDKitDescriptorsResults/ASK1_Linear-SVR,159.916562,6.152734,-0.089488,2.727125e-09
RDKitDescriptorsResults/ASK1_RBF-SVR,165.103435,5.783476,-0.124826,3.166939e-09
RDKitDescriptorsResults/ASK1_DecisionTree,210.587662,7.614229,-0.434703,1.589032e-09
RDKitDescriptorsResults/ASK1_ExtraTrees,123.509886,7.207597,0.158545,1.203845e-07
RDKitDescriptorsResults/ASK1_RandomForest,137.973603,7.475189,0.060006,3.385750e-07
RDKitDescriptorsResults/ASK1_KNeighbors,115.405493,6.704695,0.213759,3.081004e-09
RDKitDescriptorsResults/ASK1_PLS,142.292066,7.436243,0.030585,1.870174e-08
RDKitDescriptorsResults/ASK1_PLS-SKLEARN,147.884112,7.736292,-0.007513,3.888745e-09
RDKitDescriptorsResults/ASK1_XGBoost,110.845147,7.310655,0.244828,6.862724e-07
RDKitDescriptorsResults/ASK1_CatBoost,146.679635,7.397758,0.000693,2.269832e-06
RDKitDescriptorsResults/ASK1_DNN,146.124296,7.613863,0.004477,4.281871e-06
RDKitDescriptorsResults/ASK2_Linear-SVR,92.558814,5.312498,-0.251982,2.618341e-09
RDKitDescriptorsResults/ASK2_RBF-SVR,94.060629,5.132820,-0.272296,3.129169e-09
RDKitDescriptorsResults/ASK2_DecisionTree,124.635508,7.220523,-0.685862,1.512718e-09
RDKitDescriptorsResults/ASK2_ExtraTrees,80.299949,6.847726,-0.086165,1.207870e-07
RDKitDescriptorsResults/ASK2_RandomForest,77.842191,6.793141,-0.052920,3.345180e-07
RDKitDescriptorsResults/ASK2_KNeighbors,94.300575,7.047512,-0.275542,3.085628e-09
RDKitDescriptorsResults/ASK2_PLS,74.861870,6.707461,-0.012607,1.760703e-08
RDKitDescriptorsResults/ASK2_PLS-SKLEARN,74.861870,6.707461,-0.012607,3.760463e-09
RDKitDescriptorsResults/ASK2_XGBoost,132.222373,8.121198,-0.788485,6.718814e-07
RDKitDescriptorsResults/ASK2_CatBoost,119.236786,7.421668,-0.612837,2.271523e-06
