iter	RMSE
0	0.8550131925
1	0.8423743329
2	0.8303434673
3	0.8202309661
4	0.8065716742
5	0.7944579909
6	0.7841014862
7	0.7719694919
8	0.7627682229
9	0.7528684377
10	0.7438794873
11	0.7368519836
12	0.7282920377
13	0.7214687215
14	0.7143863451
15	0.7081105623
16	0.7006347628
17	0.693563237
18	0.6865871562
19	0.6812562197
20	0.6755825431
21	0.6701096612
22	0.6639591443
23	0.6586700023
24	0.654682486
25	0.6493783343
26	0.6446165931
27	0.6393933793
28	0.6345095884
29	0.6293320058
30	0.6257030196
31	0.6208235351
32	0.616876496
33	0.6132384499
34	0.6092493938
35	0.6056320244
36	0.6005951715
37	0.5960903175
38	0.5905975597
39	0.5884591399
40	0.5850898174
41	0.5805972975
42	0.5778224255
43	0.5729974974
44	0.5678399279
45	0.5639072268
46	0.5596849738
47	0.5551114417
48	0.5501158981
49	0.547870539
50	0.5459695112
51	0.5435010814
52	0.5401542795
53	0.5379490247
54	0.5358368443
55	0.5336482755
56	0.5308528886
57	0.5294308594
58	0.5266273855
59	0.5231197067
60	0.521838798
61	0.5189299629
62	0.5162377185
63	0.5145173343
64	0.5111321932
65	0.5081167873
66	0.5048780194
67	0.5027836013
68	0.5001111097
69	0.4985031712
70	0.4963912661
71	0.4930683918
72	0.4921548045
73	0.4902197838
74	0.4854973249
75	0.4844988488
76	0.4812947296
77	0.4798643912
78	0.4778320848
79	0.4759670227
80	0.4757168713
81	0.4744568464
82	0.4726264517
83	0.4694358144
84	0.4668096806
85	0.4648658341
86	0.4622848688
87	0.4600656567
88	0.4589660799
89	0.4574583893
90	0.4567988619
91	0.4561366198
92	0.4541354421
93	0.4533588429
94	0.4515209568
95	0.4505838176
96	0.4491242597
97	0.4461838292
98	0.4436637806
99	0.44184557
100	0.4402270218
101	0.4366492156
102	0.4355299078
103	0.4336920382
104	0.4324396541
105	0.4297900901
106	0.42719906
107	0.4250036539
108	0.4229853864
109	0.4202201298
110	0.4193810839
111	0.4156579008
112	0.4148820061
113	0.4126687851
114	0.410252762
115	0.4091351106
116	0.4065219953
117	0.4043922202
118	0.4025635714
119	0.4013290941
120	0.3982711997
121	0.3970342846
122	0.3962671525
123	0.3942604134
124	0.3935780825
125	0.3907095963
126	0.3886101008
127	0.3858485429
128	0.3830777373
129	0.3812278765
130	0.3802968664
131	0.3797469853
132	0.3765339215
133	0.3731960554
134	0.3722298301
135	0.3715143071
136	0.3704137322
137	0.3683855984
138	0.3660153397
139	0.3626966997
140	0.3606039293
141	0.3582363093
142	0.3552086404
143	0.3535336401
144	0.3520398305
145	0.3494967973
146	0.3464107691
147	0.3441462053
148	0.3407770042
149	0.3374984064
150	0.3364068272
151	0.3344496089
152	0.3316070977
153	0.3298369404
154	0.3277765318
155	0.3255460449
156	0.3229182352
157	0.3206572335
158	0.3199904353
159	0.3168080102
160	0.3138165814
161	0.3126544135
162	0.3119640012
163	0.3097225379
164	0.307757635
165	0.3066339143
166	0.3051222753
167	0.3041874236
168	0.3023394396
169	0.3000606692
170	0.2992943405
171	0.2973769202
172	0.2953941283
173	0.2931131709
174	0.2912028492
175	0.2891941072
176	0.2882927114
177	0.2874543924
178	0.2857167167
179	0.2853923818
180	0.2848547876
181	0.282404823
182	0.2804793132
183	0.2791551235
184	0.2775589785
185	0.2762386403
186	0.2741903852
187	0.2717544057
188	0.2714681912
189	0.2700513577
190	0.2685320447
191	0.2673143543
192	0.2642539313
193	0.2626377418
194	0.2623906724
195	0.2609478814
196	0.2593622353
197	0.2583617387
198	0.2565505456
199	0.2563109272
200	0.2546673055
201	0.2526500176
202	0.2511929629
203	0.2503213265
204	0.2480607858
205	0.2459525787
206	0.245730166
207	0.2453764818
208	0.2430291237
209	0.2420349757
210	0.2414362392
211	0.2398709985
212	0.2378184124
213	0.2362569649
214	0.2342670663
215	0.2323873
216	0.2313653071
217	0.2296977886
218	0.2285831822
219	0.2272993999
220	0.2252852212
221	0.224297053
222	0.2224549539
223	0.2222023687
224	0.2198899569
225	0.2194941644
226	0.2188382103
227	0.2172329526
228	0.2163215626
229	0.214333525
230	0.2141066418
231	0.2128797763
232	0.2110916697
233	0.2108787988
234	0.2097673653
235	0.2095941546
236	0.2076755713
237	0.2061369336
238	0.204347161
239	0.2034250253
240	0.2015751122
241	0.199868516
242	0.1990179249
243	0.1975806364
244	0.196330406
245	0.1949230617
246	0.1935574425
247	0.1927304185
248	0.1915535705
249	0.1902541427
250	0.1900584086
251	0.1892798493
252	0.1879394202
253	0.18732954
254	0.1856152923
255	0.1854091416
256	0.1842893591
257	0.1831589828
258	0.1829785963
259	0.1828452947
260	0.1810953374
261	0.1801045365
262	0.1789569867
263	0.1776526312
264	0.1766500332
265	0.1752439255
266	0.174152869
267	0.1739470485
268	0.1721923049
269	0.1709999368
270	0.1703083246
271	0.1692965619
272	0.1680402918
273	0.1665896227
274	0.1657485593
275	0.1642747014
276	0.1638054366
277	0.1632234867
278	0.162985679
279	0.1616772094
280	0.1605729856
281	0.1597305031
282	0.1579844591
283	0.157784512
284	0.1573517629
285	0.15606481
286	0.1551577444
287	0.1540157478
288	0.153831283
289	0.1532439851
290	0.1530634219
291	0.1528347271
292	0.1519968928
293	0.1507578717
294	0.1495416866
295	0.1489426615
296	0.1486304484
297	0.1479831105
298	0.1472608509
299	0.1471190771
300	0.1466558576
301	0.1456334153
302	0.1454725186
303	0.1442743007
304	0.1433699963
305	0.1432300936
306	0.143075189
307	0.1429386665
308	0.142783806
309	0.1420288768
310	0.1414541744
311	0.1408014494
312	0.1400898166
313	0.1393537263
314	0.1388211281
315	0.1382649746
316	0.1380071443
317	0.1373491955
318	0.1367450259
319	0.13587312
320	0.1349630299
321	0.1339870395
322	0.1337485445
323	0.1329739683
324	0.1328102243
325	0.1326563066
326	0.1325235331
327	0.1314935499
328	0.1308036072
329	0.1305461513
330	0.1296127441
331	0.1284545591
332	0.1277228569
333	0.1268664311
334	0.1260980705
335	0.1252411649
336	0.1249774339
337	0.1240306717
338	0.1230910334
339	0.1228196629
340	0.1226821457
341	0.1219292166
342	0.1212390038
343	0.1206603388
344	0.1199754812
345	0.1197173628
346	0.119282204
347	0.1186069779
348	0.1176750102
349	0.1175924749
350	0.1166218258
351	0.1160908778
352	0.1152816823
353	0.1149656773
354	0.1148457493
355	0.1146443014
356	0.1140175548
357	0.1136261347
358	0.1134768665
359	0.1133568428
360	0.113042221
361	0.1129115504
362	0.1125723337
363	0.112081934
364	0.1115035936
365	0.1105554238
366	0.1103624787
367	0.1097221192
368	0.1090865358
369	0.1084099399
370	0.1076147521
371	0.1070121575
372	0.1068996465
373	0.1063010801
374	0.1062124008
375	0.1061113962
376	0.1055334846
377	0.1050127875
378	0.1043679382
379	0.1042640113
380	0.1041804217
381	0.1041041958
382	0.1040337616
383	0.1034764198
384	0.103382908
385	0.1028232101
386	0.1022610559
387	0.1014755667
388	0.1011330388
389	0.1007964289
390	0.1007053548
391	0.1001406001
392	0.09935532902
393	0.09893332794
394	0.09813675637
395	0.09759539511
396	0.09690648549
397	0.09649421981
398	0.09641063843
399	0.09584296844
400	0.09538689651
401	0.09531022955
402	0.09486054571
403	0.0947346836
404	0.09441184719
405	0.09381519264
406	0.09373243491
407	0.09314957677
408	0.0930963978
409	0.09296387859
410	0.09215897032
411	0.09197846544
412	0.09190286552
413	0.09134495197
414	0.09128616774
415	0.09079711287
416	0.09038073731
417	0.08978193877
418	0.08972268528
419	0.08934613187
