iter	RMSE
391	0.3989431805
392	0.3975925172
393	0.3964127628
394	0.396186213
395	0.395068608
396	0.3944908867
397	0.3942391584
398	0.3939968569
399	0.39365436
400	0.392582972
401	0.3922004458
402	0.3915520354
403	0.3912022059
404	0.3908285003
405	0.3904680392
406	0.389146883
407	0.3888924088
408	0.3880833952
409	0.3876536968
410	0.3865012243
411	0.3861716945
412	0.3859229972
413	0.3857108741
414	0.3851805555
415	0.3847722347
416	0.3845401064
417	0.384018094
418	0.3826798
419	0.3824292059
420	0.3822062937
421	0.382007937
422	0.3817898735
423	0.381508461
424	0.3812776085
425	0.3809928525
426	0.3797751066
427	0.3791899864
428	0.3787297757
429	0.3775233858
430	0.3772053264
431	0.3769321016
432	0.3763573276
433	0.3753729739
434	0.3747303192
435	0.3742880364
436	0.373715268
437	0.372434815
438	0.3721647635
439	0.3717901647
440	0.3715548983
441	0.3704307882
442	0.3701912203
443	0.3699869259
444	0.3697411091
445	0.3695320963
446	0.3689150728
447	0.3687140166
448	0.3683414903
449	0.3673990085
450	0.3671934343
451	0.3669187492
452	0.3658710111
453	0.3655083875
454	0.3651853867
455	0.3648700377
456	0.3644634823
457	0.3634027445
458	0.3628045811
459	0.3616119374
460	0.361348675
461	0.3611307214
462	0.3607763638
463	0.3605796513
464	0.3593922068
465	0.3590577926
466	0.3582771325
467	0.358081722
468	0.3573943386
469	0.3570954729
470	0.3568707034
471	0.35659856
472	0.3564068783
473	0.3561077017
474	0.3557753034
475	0.3556284618
476	0.3546813029
477	0.3543664584
478	0.3540521406
479	0.353773122
480	0.353348466
481	0.353011945
482	0.3525452997
483	0.3523545227
484	0.3508708422
485	0.3503629233
486	0.3501543239
487	0.3498333026
488	0.3490214805
489	0.3486899716
490	0.3481313302
491	0.3478590714
492	0.3475858411
493	0.3473763261
494	0.3471353644
495	0.346875375
496	0.3466675688
497	0.3457574498
498	0.3454548259
499	0.3451982912
500	0.3450200051
501	0.3448060789
502	0.3445231816
503	0.3443070274
504	0.3439326028
505	0.3436282314
506	0.3433786613
507	0.3424491087
508	0.3420919368
509	0.3418349255
510	0.3416539413
511	0.3413240199
512	0.3411687967
513	0.3400374859
514	0.3398742544
515	0.339469662
516	0.3391702241
517	0.3387809279
518	0.3385448159
519	0.3382513706
520	0.3380990962
521	0.3377904644
522	0.3374971832
523	0.3368762461
524	0.3365815503
525	0.3362265481
526	0.3359525037
527	0.3354642476
528	0.3353100107
529	0.3350295797
530	0.3347160127
531	0.3341911488
532	0.3340391526
533	0.3336894111
534	0.3335147624
535	0.333266123
536	0.3327395196
537	0.3325346415
538	0.3323882205
539	0.3319690297
540	0.3316921256
541	0.3314084329
542	0.3312209232
543	0.3305655482
544	0.3303956364
545	0.3302360611
546	0.3291819897
547	0.3290392278
548	0.3287824721
549	0.3284756409
550	0.328321481
551	0.3280303947
552	0.3277575702
553	0.3275810555
554	0.3270245274
555	0.3268831194
556	0.3259941731
557	0.3255904091
558	0.3253943316
559	0.3252661592
560	0.3251485139
561	0.3245584748
562	0.3243613988
563	0.3241830623
564	0.3235086723
565	0.3232976355
566	0.3227615507
567	0.3224378105
568	0.3223013376
569	0.3220493466
570	0.3217893412
571	0.3216451554
572	0.3211788227
573	0.3209017503
574	0.3205651361
575	0.3204073366
576	0.3202981977
577	0.3200741299
578	0.3198898942
579	0.3195088755
580	0.3192681846
581	0.3191103873
582	0.3180876434
583	0.3178424293
584	0.3175746551
585	0.31652722
586	0.3155791568
587	0.3153371655
588	0.3150939939
589	0.3138023695
590	0.3136691484
591	0.3134931397
592	0.3133192711
593	0.3131633075
594	0.3129129048
595	0.3127816128
596	0.3125029179
597	0.3123529918
598	0.3116345852
599	0.3113411885
600	0.310765775
601	0.3105374768
602	0.3099883167
603	0.3098759266
604	0.3096635311
605	0.3095300639
606	0.308655202
607	0.3084197478
608	0.3073317893
609	0.3070446762
610	0.3063362673
611	0.305899844
612	0.3057317584
613	0.3055507331
614	0.3053926309
615	0.3044929132
616	0.304331278
617	0.3041223079
618	0.3032223257
619	0.3029886706
620	0.3028780867
621	0.3020383615
622	0.3014792072
623	0.3009289882
624	0.3007353526
625	0.3005681782
626	0.3004221825
627	0.2995548634
628	0.2994234695
629	0.2992174372
630	0.2989725954
631	0.2987843498
632	0.2985759283
633	0.2978168856
634	0.297599018
635	0.2974924957
636	0.2973080132
637	0.29721942
638	0.2970890047
639	0.2962876139
640	0.2960913775
641	0.2959106319
642	0.2957051309
643	0.2955527433
644	0.2949950754
645	0.2940108955
646	0.2936883693
647	0.293517809
648	0.2933055066
649	0.2931888008
650	0.2929717735
651	0.292718203
652	0.2926019721
653	0.2921979866
654	0.2912159312
655	0.2904454616
656	0.2903327058
657	0.2900204583
658	0.2899185796
659	0.2898065505
660	0.289688745
661	0.289263338
662	0.2888116248
663	0.288420533
664	0.288216883
665	0.2880975925
666	0.2879017275
667	0.2876270189
668	0.2874697453
669	0.287319762
670	0.2871374214
671	0.2869439373
672	0.2861812061
673	0.2858598236
674	0.2854431312
675	0.2852859971
676	0.2844941603
677	0.2833951295
678	0.2832006767
679	0.283108495
680	0.2829790883
681	0.2828258841
682	0.2826597901
683	0.2824752014
684	0.2824042781
685	0.2823009852
686	0.2821800293
687	0.2818639541
688	0.2814668515
689	0.2811899222
690	0.2808611294
691	0.280472579
692	0.2802706078
693	0.2801514347
694	0.2799031166
695	0.2797764914
696	0.2790973588
697	0.2789764988
698	0.2784729832
699	0.2783135375
700	0.2782179781
701	0.2781137265
702	0.2777475523
703	0.2770523458
704	0.2768662596
705	0.2759314486
706	0.275796641
707	0.2756692994
708	0.2755387465
709	0.274721901
710	0.2745711195
711	0.2736827059
712	0.2735619602
713	0.2729359758
714	0.2723641315
715	0.272246668
716	0.2715707822
717	0.2714084801
718	0.271197745
719	0.2710105418
720	0.2707790021
721	0.2704352992
722	0.2700634282
723	0.2699593018
724	0.2698471994
725	0.2696767706
726	0.2689679153
727	0.268761166
728	0.26830835
729	0.2681649758
730	0.2680067172
731	0.2678494
732	0.2676592976
733	0.2674837025
734	0.2673699295
735	0.2672344418
736	0.2670427054
737	0.266908527
738	0.2667424533
739	0.2664670039
740	0.2663397377
741	0.2659567112
742	0.2653761551
743	0.2652881813
744	0.2649446156
745	0.2647831659
746	0.26454159
747	0.2642195761
748	0.2640932128
749	0.2639332695
750	0.263841778
751	0.2630893179
752	0.2625057217
753	0.2619360701
754	0.2617453355
755	0.2612831384
756	0.2611582047
757	0.2604698828
758	0.260368162
759	0.2601951588
760	0.2600933874
761	0.2599888057
762	0.2599060587
763	0.2597725224
764	0.2595526654
765	0.2594553546
766	0.2592526517
767	0.2589996908
768	0.2589042681
769	0.258720757
770	0.2586063776
771	0.258415736
772	0.2582319486
773	0.257970171
774	0.2575013564
775	0.2573420088
776	0.257089271
777	0.2569175335
778	0.2568234814
779	0.2565931365
780	0.2564729023
781	0.2563789573
782	0.2562515091
783	0.2560560375
784	0.2559617156
785	0.2558468966
786	0.2556550084
787	0.2555135228
788	0.255026687
789	0.2549260185
790	0.2547489005
791	0.2544943828
792	0.2542890136
793	0.2542106885
794	0.2540064042
795	0.2538672412
796	0.2536867767
797	0.253575664
798	0.2530874374
799	0.2529682366
800	0.2528794499
801	0.2527312694
802	0.2526348767
803	0.2525312653
804	0.2524602614
805	0.2522630943
806	0.2521685137
807	0.252049991
808	0.2519344887
809	0.2517888828
810	0.2516277717
811	0.2515083571
812	0.2514036981
813	0.2512282734
814	0.2511452347
815	0.2510724303
816	0.2506555015
817	0.2505068417
818	0.2503751069
819	0.2501435777
820	0.2500626852
821	0.2499486794
822	0.2498585787
823	0.2497570493
824	0.2494430801
825	0.2492910317
826	0.2491250798
827	0.249029913
828	0.2488901845
829	0.2487317492
830	0.2486245136
831	0.2484746008
832	0.2478287264
833	0.2477738448
834	0.2475024695
835	0.247338443
836	0.246973722
837	0.2468488868
838	0.246299505
839	0.2457023261
840	0.2455888232
841	0.245417016
842	0.2452707046
843	0.2448804186
844	0.2439738836
845	0.2437446523
846	0.2436499311
847	0.2435513185
848	0.2433050386
849	0.2431639107
850	0.2428865437
851	0.2427934407
852	0.2425708699
853	0.2424820201
854	0.2423312297
855	0.2421476933
856	0.242008122
857	0.2417326323
858	0.2411630086
859	0.2410699563
860	0.2408109201
861	0.2406669566
862	0.240420105
863	0.2401650614
864	0.2400789999
865	0.239964887
866	0.2398867983
867	0.2398038444
868	0.2394625646
869	0.2393784419
870	0.2393128677
871	0.2387206354
872	0.2384175951
873	0.2381761155
874	0.2380792893
875	0.2379928009
876	0.2375506962
877	0.2372389709
878	0.2370835027
879	0.2365965027
880	0.2365013248
881	0.2360210348
882	0.2357885951
883	0.2356773757
884	0.2350933666
885	0.2349541761
886	0.2346834577
887	0.2345189716
888	0.234054818
889	0.2339709099
890	0.2338729836
891	0.2334339983
892	0.2333704982
893	0.233269259
894	0.2329956481
895	0.2328809073
896	0.232654734
897	0.2325194855
898	0.2324154761
899	0.2323128449
900	0.2322172428
901	0.2318506604
902	0.2312476706
903	0.2311239829
904	0.2310608481
905	0.2308187575
906	0.2307028413
907	0.2306159211
908	0.2304352348
909	0.22986137
910	0.2292528741
911	0.2291222321
912	0.229027146
913	0.228343286
914	0.2282729263
915	0.2281911587
916	0.2279713665
917	0.2277471791
918	0.2276791551
919	0.2275452007
920	0.2274535859
921	0.2273434521
922	0.2271498284
923	0.2270269464
924	0.2267532909
925	0.2266716343
926	0.2263058728
927	0.2262161715
928	0.2261174491
929	0.2260244005
930	0.2259580203
931	0.2257500901
932	0.2254705212
933	0.2253725196
934	0.2252752055
935	0.2245605679
936	0.224453701
937	0.2243255614
938	0.2241325269
939	0.2240046932
940	0.2238787285
941	0.2237673497
942	0.2234057723
943	0.223316892
944	0.2229441268
945	0.2227843626
946	0.2226822003
947	0.2226058959
948	0.2225069059
949	0.2222418222
950	0.2218541994
951	0.2217624259
952	0.2213880439
953	0.2211786794
954	0.2210932391
955	0.2209877004
956	0.220692875
957	0.2206059796
958	0.22048489
959	0.2199392142
960	0.2198257314
961	0.2196935743
962	0.219571628
963	0.2191775745
964	0.2190242341
965	0.2187499397
966	0.2186758992
967	0.2184482373
968	0.2183547091
969	0.2182497342
970	0.2181800199
971	0.2180733307
972	0.2179439843
973	0.2178534131
974	0.2177826703
975	0.2176453291
976	0.2175717128
977	0.2174982648
978	0.217271004
979	0.2171653323
980	0.2169537978
981	0.2167656126
982	0.2166925343
983	0.2165838994
984	0.2164560318
985	0.215945873
986	0.2158690334
987	0.2156911469
988	0.2156022447
989	0.2154841183
990	0.2147663648
991	0.2142471205
992	0.2140194934
993	0.2139190064
994	0.2138731383
995	0.2137878496
996	0.2135175701
997	0.213278137
998	0.2130258632
999	0.212908169
1000	0.212079732
1001	0.2119971693
1002	0.2119281176
1003	0.2118322226
1004	0.2117179193
1005	0.2114901552
1006	0.2113798236
1007	0.211279398
1008	0.2111042658
1009	0.211029868
1010	0.210703929
1011	0.2105802056
1012	0.2103742694
1013	0.2103057209
1014	0.210200533
1015	0.2101187034
1016	0.2099927974
1017	0.2095706477
1018	0.2091772369
1019	0.2090195821
1020	0.2088523428
1021	0.2087707947
1022	0.2087085781
1023	0.2084232515
1024	0.2083122396
1025	0.2081097846
1026	0.2079390012
1027	0.2078097204
1028	0.2077116072
1029	0.2076452292
1030	0.2075546246
1031	0.2071298667
1032	0.2065606244
1033	0.2062582838
1034	0.2057107176
1035	0.2056243915
1036	0.2053652473
1037	0.2052913096
1038	0.2047635672
1039	0.2044830686
1040	0.2044164363
1041	0.2043088134
1042	0.2041984307
1043	0.2041313505
1044	0.2037250869
1045	0.2031708947
1046	0.2030796471
1047	0.2027124624
1048	0.2026344686
1049	0.202217658
1050	0.2021270608
1051	0.2020507937
1052	0.2018864735
1053	0.2015668825
1054	0.2009257297
1055	0.2007652663
1056	0.2005157416
1057	0.2003513371
1058	0.2002425677
1059	0.2001440979
1060	0.1997451722
1061	0.1996518942
1062	0.1995839509
1063	0.1995060399
1064	0.19944787
1065	0.1993569315
1066	0.1991144222
1067	0.1988746301
1068	0.1986867793
1069	0.1985390579
1070	0.1984023062
1071	0.1979609172
1072	0.1978165174
1073	0.197714519
1074	0.1976115037
1075	0.1972246861
1076	0.19711319
1077	0.1967070076
1078	0.196590652
1079	0.1965421715
1080	0.1964669657
1081	0.1963646401
1082	0.1961956738
1083	0.1960515104
1084	0.1955947345
1085	0.1955024199
1086	0.1953411042
1087	0.1952393064
1088	0.1949288112
1089	0.1948839415
1090	0.19480779
1091	0.1947173913
1092	0.1946315031
1093	0.1945527363
1094	0.1944896123
1095	0.1941826166
1096	0.1941035155
1097	0.1939879755
1098	0.1938890426
1099	0.1933812358
1100	0.1930730461
1101	0.1928129707
1102	0.1927127085
1103	0.1926132788
1104	0.1924508613
1105	0.192138877
1106	0.1920802054
1107	0.1919960626
1108	0.1919340436
1109	0.1918730868
1110	0.1916595871
1111	0.191586585
1112	0.1914771641
1113	0.191003103
1114	0.190942973
1115	0.1908278026
1116	0.1903585104
1117	0.190283427
1118	0.1901993029
1119	0.190052058
1120	0.1899045765
1121	0.1898343635
1122	0.189769752
1123	0.1896807255
1124	0.1895484414
1125	0.1894460612
1126	0.1893817918
1127	0.1892778148
1128	0.1891754987
1129	0.1890726488
1130	0.1886518995
1131	0.1882181408
1132	0.1878457868
1133	0.1877830826
1134	0.1877349043
1135	0.187647147
1136	0.1875217963
1137	0.1873980976
1138	0.1872765055
1139	0.1870214383
1140	0.1869628111
1141	0.1863714656
1142	0.1863108737
1143	0.1862215401
1144	0.1861700481
1145	0.1859784591
1146	0.185730958
1147	0.1854950156
1148	0.1852027272
1149	0.18482057
1150	0.1847671326
1151	0.1846472713
1152	0.1845826441
1153	0.1845392088
1154	0.184449189
1155	0.1843080355
1156	0.1842535276
1157	0.184126117
1158	0.1838482542
1159	0.1835814108
1160	0.1835097542
1161	0.1834299838
1162	0.1833746861
1163	0.183284038
1164	0.183195057
1165	0.1826471026
1166	0.1825521144
1167	0.1824918589
1168	0.1824027368
1169	0.1823494901
1170	0.1821473011
1171	0.181917244
1172	0.1817810539
1173	0.1817117482
1174	0.1816412182
1175	0.181564912
1176	0.181341255
1177	0.1809502936
1178	0.1805763928
1179	0.1805144082
1180	0.1804577344
1181	0.1804130504
1182	0.1801958729
1183	0.1799584639
1184	0.1798946266
1185	0.1797993722
1186	0.1797489078
1187	0.1792680758
1188	0.1792009089
1189	0.1791269781
1190	0.1788951124
1191	0.1788533196
1192	0.1787997479
1193	0.1786157635
1194	0.1785624879
1195	0.1783712858
1196	0.1782837184
1197	0.1781883391
1198	0.1780977223
1199	0.1778877227
1200	0.1777580732
1201	0.1776092104
1202	0.1775488775
1203	0.1774947957
1204	0.1774696531
1205	0.1774025562
1206	0.1773074159
1207	0.1770914588
1208	0.1769106368
1209	0.1765969061
1210	0.1764996815
1211	0.176163399
1212	0.1760999682
1213	0.1760371675
1214	0.1759835538
1215	0.1757705867
1216	0.1757236072
1217	0.1756707795
1218	0.1754758928
1219	0.17531743
1220	0.1751543065
1221	0.1749568954
1222	0.1746576678
1223	0.1743430658
1224	0.1737478605
1225	0.1736444765
1226	0.1734682405
1227	0.1731410125
1228	0.1730345002
1229	0.1726581982
1230	0.1725981003
1231	0.1725476163
1232	0.1725100299
1233	0.1721722096
1234	0.1720792296
1235	0.1720072273
1236	0.1717317726
1237	0.1716480841
