Molecule,LogP_chembl
CMPLOGP00000913,0.67
CMPLOGP00000914,0.67
CMPLOGP00000915,0.67
CMPLOGP00000916,0.68
CMPLOGP00000917,0.68
CMPLOGP00000918,0.68
CMPLOGP00000919,0.688
CMPLOGP00000920,0.69
CMPLOGP00000921,0.69
CMPLOGP00000922,0.69
CMPLOGP00000923,0.69
CMPLOGP00000924,0.69
CMPLOGP00000925,0.69
CMPLOGP00000926,0.694
CMPLOGP00000927,0.7
CMPLOGP00000928,0.7
CMPLOGP00000929,0.7
CMPLOGP00000930,0.7
CMPLOGP00000931,0.7
CMPLOGP00000932,0.7
CMPLOGP00000933,0.7
CMPLOGP00000934,0.7
CMPLOGP00000935,0.7
CMPLOGP00000936,0.7
CMPLOGP00000937,0.7
CMPLOGP00000938,0.71
CMPLOGP00000939,0.71
CMPLOGP00000940,0.71
CMPLOGP00000941,0.72
CMPLOGP00000942,0.72
CMPLOGP00000943,0.72
CMPLOGP00000944,0.72
CMPLOGP00000945,0.72
CMPLOGP00000946,0.72
CMPLOGP00000947,0.72
CMPLOGP00000948,0.73
CMPLOGP00000949,0.73
CMPLOGP00000950,0.73
CMPLOGP00000951,0.73
CMPLOGP00000952,0.73
CMPLOGP00000953,0.73
CMPLOGP00000954,0.73
CMPLOGP00000955,0.74
CMPLOGP00000956,0.74
CMPLOGP00000957,0.74
CMPLOGP00000958,0.74
CMPLOGP00000959,0.74
CMPLOGP00000960,0.74
CMPLOGP00000961,0.74
CMPLOGP00000962,0.74
CMPLOGP00000963,0.749
CMPLOGP00000964,0.75
CMPLOGP00000965,0.75
CMPLOGP00000966,0.75
CMPLOGP00000967,0.75
CMPLOGP00000968,0.75
CMPLOGP00000969,0.75
CMPLOGP00000970,0.76
CMPLOGP00000971,0.76
CMPLOGP00000972,0.77
CMPLOGP00000973,0.77
CMPLOGP00000974,0.77
CMPLOGP00000975,0.77
CMPLOGP00000976,0.779
CMPLOGP00000977,0.78
CMPLOGP00000978,0.78
CMPLOGP00000979,0.78
CMPLOGP00000980,0.79
CMPLOGP00000981,0.79
CMPLOGP00000982,0.79
CMPLOGP00000983,0.79
CMPLOGP00000984,0.79
CMPLOGP00000985,0.79
CMPLOGP00000986,0.79
CMPLOGP00000987,0.797
CMPLOGP00000988,0.8
CMPLOGP00000989,0.8
CMPLOGP00000990,0.8
CMPLOGP00000991,0.8
CMPLOGP00000992,0.8
CMPLOGP00000993,0.8
CMPLOGP00000994,0.8
CMPLOGP00000995,0.8
CMPLOGP00000996,0.8
CMPLOGP00000997,0.803
CMPLOGP00000998,0.81
CMPLOGP00000999,0.81
CMPLOGP00001000,0.81
CMPLOGP00001001,0.81
CMPLOGP00001002,0.819
CMPLOGP00001003,0.82
CMPLOGP00001004,0.82
CMPLOGP00001005,0.82
CMPLOGP00001006,0.82
CMPLOGP00001007,0.82
CMPLOGP00001008,0.82
CMPLOGP00001009,0.82
CMPLOGP00001010,0.82
CMPLOGP00001011,0.82
CMPLOGP00001012,0.82
CMPLOGP00001013,0.82
CMPLOGP00001014,0.83
CMPLOGP00001015,0.83
CMPLOGP00001016,0.83
CMPLOGP00001017,0.83
CMPLOGP00001018,0.835
CMPLOGP00001019,0.84
CMPLOGP00001020,0.84
CMPLOGP00001021,0.84
CMPLOGP00001022,0.84
CMPLOGP00001023,0.85
CMPLOGP00001024,0.85
CMPLOGP00001025,0.85
CMPLOGP00001026,0.85
CMPLOGP00001027,0.85
CMPLOGP00001028,0.851
CMPLOGP00001029,0.86
CMPLOGP00001030,0.86
CMPLOGP00001031,0.86
CMPLOGP00001032,0.86
CMPLOGP00001033,0.86
CMPLOGP00001034,0.86
CMPLOGP00001035,0.86
CMPLOGP00001036,0.87
CMPLOGP00001037,0.87
CMPLOGP00001038,0.87
CMPLOGP00001039,0.87
CMPLOGP00001040,0.87
CMPLOGP00001041,0.87
CMPLOGP00001042,0.87
CMPLOGP00001043,0.87
CMPLOGP00001044,0.873
CMPLOGP00001045,0.88
CMPLOGP00001046,0.88
CMPLOGP00001047,0.88
CMPLOGP00001048,0.88
CMPLOGP00001049,0.88
CMPLOGP00001050,0.88
CMPLOGP00001051,0.88
CMPLOGP00001052,0.89
CMPLOGP00001053,0.89
CMPLOGP00001054,0.89
CMPLOGP00001055,0.89
CMPLOGP00001056,0.89
CMPLOGP00001057,0.89
CMPLOGP00001058,0.89
CMPLOGP00001059,0.89
CMPLOGP00001060,0.89
CMPLOGP00001061,0.891
CMPLOGP00001062,0.893
CMPLOGP00001063,0.9
CMPLOGP00001064,0.9
CMPLOGP00001065,0.9
CMPLOGP00001066,0.9
CMPLOGP00001067,0.9
CMPLOGP00001068,0.9
CMPLOGP00001069,0.9
CMPLOGP00001070,0.9
CMPLOGP00001071,0.9
CMPLOGP00001072,0.9
CMPLOGP00001073,0.9
CMPLOGP00001074,0.9
CMPLOGP00001075,0.91
CMPLOGP00001076,0.91
CMPLOGP00001077,0.91
CMPLOGP00001078,0.91
CMPLOGP00001079,0.91
CMPLOGP00001080,0.91
CMPLOGP00001081,0.91
CMPLOGP00001082,0.918
CMPLOGP00001083,0.92
CMPLOGP00001084,0.92
CMPLOGP00001085,0.92
CMPLOGP00001086,0.93
CMPLOGP00001087,0.93
CMPLOGP00001088,0.93
CMPLOGP00001089,0.93
CMPLOGP00001090,0.94
CMPLOGP00001091,0.94
CMPLOGP00001092,0.94
CMPLOGP00001093,0.94
CMPLOGP00001094,0.94
CMPLOGP00001095,0.94
CMPLOGP00001096,0.94
CMPLOGP00001097,0.94
CMPLOGP00001098,0.95
CMPLOGP00001099,0.95
CMPLOGP00001100,0.95
CMPLOGP00001101,0.95
CMPLOGP00001102,0.95
CMPLOGP00001103,0.95
CMPLOGP00001104,0.95
CMPLOGP00001105,0.95
CMPLOGP00001106,0.95
CMPLOGP00001107,0.95
CMPLOGP00001108,0.95
CMPLOGP00001109,0.95
CMPLOGP00001110,0.955
CMPLOGP00001111,0.96
CMPLOGP00001112,0.96
CMPLOGP00001113,0.96
CMPLOGP00001114,0.96
CMPLOGP00001115,0.96
CMPLOGP00001116,0.96
CMPLOGP00001117,0.96
CMPLOGP00001118,0.96
CMPLOGP00001119,0.97
CMPLOGP00001120,0.97
CMPLOGP00001121,0.97
CMPLOGP00001122,0.97
CMPLOGP00001123,0.97
CMPLOGP00001124,0.97
CMPLOGP00001125,0.98
CMPLOGP00001126,0.98
CMPLOGP00001127,0.98
CMPLOGP00001128,0.98
CMPLOGP00001129,0.99
CMPLOGP00001130,0.99
CMPLOGP00001131,0.99
CMPLOGP00001132,0.99
CMPLOGP00001133,0.992
CMPLOGP00001134,1
CMPLOGP00001135,1
CMPLOGP00001136,1
CMPLOGP00001137,1
CMPLOGP00001138,1
CMPLOGP00001139,1
CMPLOGP00001140,1
CMPLOGP00001141,1
CMPLOGP00001142,1
CMPLOGP00001143,1
CMPLOGP00001144,1
CMPLOGP00001145,1
CMPLOGP00001146,1
CMPLOGP00001147,1
CMPLOGP00001148,1
CMPLOGP00001149,1.01
CMPLOGP00001150,1.01
CMPLOGP00001151,1.01
CMPLOGP00001152,1.01
CMPLOGP00001153,1.01
CMPLOGP00001154,1.01
CMPLOGP00001155,1.01
CMPLOGP00001156,1.02
CMPLOGP00001157,1.02
CMPLOGP00001158,1.02
CMPLOGP00001159,1.02
CMPLOGP00001160,1.02
CMPLOGP00001161,1.02
CMPLOGP00001162,1.02
CMPLOGP00001163,1.021
CMPLOGP00001164,1.03
CMPLOGP00001165,1.03
CMPLOGP00001166,1.03
CMPLOGP00001167,1.03
CMPLOGP00001168,1.03
CMPLOGP00001169,1.03
CMPLOGP00001170,1.03
CMPLOGP00001171,1.03
CMPLOGP00001172,1.04
CMPLOGP00001173,1.04
CMPLOGP00001174,1.04
CMPLOGP00001175,1.04
CMPLOGP00001176,1.04
CMPLOGP00001177,1.04
CMPLOGP00001178,1.04
CMPLOGP00001179,1.04
CMPLOGP00001180,1.049
CMPLOGP00001181,1.05
CMPLOGP00001182,1.05
CMPLOGP00001183,1.05
CMPLOGP00001184,1.05
CMPLOGP00001185,1.05
CMPLOGP00001186,1.05
CMPLOGP00001187,1.05
CMPLOGP00001188,1.05
CMPLOGP00001189,1.05
CMPLOGP00001190,1.05
CMPLOGP00001191,1.05
CMPLOGP00001192,1.05
CMPLOGP00001193,1.059
CMPLOGP00001194,1.06
CMPLOGP00001195,1.06
CMPLOGP00001196,1.06
CMPLOGP00001197,1.06
CMPLOGP00001198,1.06
CMPLOGP00001199,1.07
CMPLOGP00001200,1.07
CMPLOGP00001201,1.07
CMPLOGP00001202,1.07
CMPLOGP00001203,1.07
CMPLOGP00001204,1.07
CMPLOGP00001205,1.07
CMPLOGP00001206,1.08
CMPLOGP00001207,1.08
CMPLOGP00001208,1.08
CMPLOGP00001209,1.08
CMPLOGP00001210,1.08
CMPLOGP00001211,1.08
CMPLOGP00001212,1.08
CMPLOGP00001213,1.089
CMPLOGP00001214,1.09
CMPLOGP00001215,1.09
CMPLOGP00001216,1.09
CMPLOGP00001217,1.09
CMPLOGP00001218,1.09
CMPLOGP00001219,1.09
CMPLOGP00001220,1.0939
CMPLOGP00001221,1.1
CMPLOGP00001222,1.1
CMPLOGP00001223,1.1
CMPLOGP00001224,1.1
CMPLOGP00001225,1.1
CMPLOGP00001226,1.1
CMPLOGP00001227,1.1
CMPLOGP00001228,1.1
CMPLOGP00001229,1.1
CMPLOGP00001230,1.1
CMPLOGP00001231,1.1
CMPLOGP00001232,1.1
CMPLOGP00001233,1.1
CMPLOGP00001234,1.1
CMPLOGP00001235,1.1
CMPLOGP00001236,1.1
CMPLOGP00001237,1.1
CMPLOGP00001238,1.1
CMPLOGP00001239,1.1
CMPLOGP00001240,1.1
CMPLOGP00001241,1.11
CMPLOGP00001242,1.11
CMPLOGP00001243,1.11
CMPLOGP00001244,1.11
CMPLOGP00001245,1.11
CMPLOGP00001246,1.11
CMPLOGP00001247,1.12
CMPLOGP00001248,1.12
CMPLOGP00001249,1.12
CMPLOGP00001250,1.12
CMPLOGP00001251,1.12
CMPLOGP00001252,1.12
CMPLOGP00001253,1.12
CMPLOGP00001254,1.13
CMPLOGP00001255,1.13
CMPLOGP00001256,1.13
CMPLOGP00001257,1.13
CMPLOGP00001258,1.13
CMPLOGP00001259,1.13
CMPLOGP00001260,1.13
CMPLOGP00001261,1.13
CMPLOGP00001262,1.13
CMPLOGP00001263,1.13
CMPLOGP00001264,1.14
CMPLOGP00001265,1.14
CMPLOGP00001266,1.14
CMPLOGP00001267,1.14
CMPLOGP00001268,1.14
CMPLOGP00001269,1.14
CMPLOGP00001270,1.14
CMPLOGP00001271,1.14
CMPLOGP00001272,1.15
CMPLOGP00001273,1.15
CMPLOGP00001274,1.15
CMPLOGP00001275,1.15
CMPLOGP00001276,1.15
CMPLOGP00001277,1.15
CMPLOGP00001278,1.15
CMPLOGP00001279,1.15
CMPLOGP00001280,1.16
CMPLOGP00001281,1.16
CMPLOGP00001282,1.16
CMPLOGP00001283,1.16
CMPLOGP00001284,1.16
CMPLOGP00001285,1.16
CMPLOGP00001286,1.16
CMPLOGP00001287,1.17
CMPLOGP00001288,1.17
CMPLOGP00001289,1.17
CMPLOGP00001290,1.17
CMPLOGP00001291,1.17
CMPLOGP00001292,1.17
CMPLOGP00001293,1.17
CMPLOGP00001294,1.18
CMPLOGP00001295,1.18
CMPLOGP00001296,1.18
CMPLOGP00001297,1.18
CMPLOGP00001298,1.18
CMPLOGP00001299,1.18
CMPLOGP00001300,1.18
CMPLOGP00001301,1.19
CMPLOGP00001302,1.19
CMPLOGP00001303,1.19
CMPLOGP00001304,1.19
CMPLOGP00001305,1.19
CMPLOGP00001306,1.19
CMPLOGP00001307,1.19
CMPLOGP00001308,1.19
CMPLOGP00001309,1.19
CMPLOGP00001310,1.19
CMPLOGP00001311,1.19
CMPLOGP00001312,1.19
CMPLOGP00001313,1.19
CMPLOGP00001314,1.198
CMPLOGP00001315,1.2
CMPLOGP00001316,1.2
CMPLOGP00001317,1.2
CMPLOGP00001318,1.2
CMPLOGP00001319,1.2
CMPLOGP00001320,1.2
CMPLOGP00001321,1.2
CMPLOGP00001322,1.2
CMPLOGP00001323,1.2
CMPLOGP00001324,1.2
CMPLOGP00001325,1.2
CMPLOGP00001326,1.2
CMPLOGP00001327,1.2
CMPLOGP00001328,1.2
CMPLOGP00001329,1.2
CMPLOGP00001330,1.2
CMPLOGP00001331,1.2
CMPLOGP00001332,1.2
CMPLOGP00001333,1.21
CMPLOGP00001334,1.21
CMPLOGP00001335,1.21
CMPLOGP00001336,1.21
CMPLOGP00001337,1.21
CMPLOGP00001338,1.21
CMPLOGP00001339,1.22
CMPLOGP00001340,1.22
CMPLOGP00001341,1.22
CMPLOGP00001342,1.22
CMPLOGP00001343,1.23
CMPLOGP00001344,1.23
CMPLOGP00001345,1.23
CMPLOGP00001346,1.23
CMPLOGP00001347,1.23
CMPLOGP00001348,1.23
CMPLOGP00001349,1.23
CMPLOGP00001350,1.24
CMPLOGP00001351,1.24
CMPLOGP00001352,1.24
CMPLOGP00001353,1.24
CMPLOGP00001354,1.24
CMPLOGP00001355,1.24
CMPLOGP00001356,1.24
CMPLOGP00001357,1.24
CMPLOGP00001358,1.24
CMPLOGP00001359,1.24
CMPLOGP00001360,1.25
CMPLOGP00001361,1.25
CMPLOGP00001362,1.25
CMPLOGP00001363,1.25
CMPLOGP00001364,1.25
CMPLOGP00001365,1.25
CMPLOGP00001366,1.255
CMPLOGP00001367,1.26
CMPLOGP00001368,1.26
CMPLOGP00001369,1.26
CMPLOGP00001370,1.26
CMPLOGP00001371,1.26
CMPLOGP00001372,1.26
CMPLOGP00001373,1.26
CMPLOGP00001374,1.26
CMPLOGP00001375,1.27
CMPLOGP00001376,1.27
CMPLOGP00001377,1.27
CMPLOGP00001378,1.27
CMPLOGP00001379,1.27
CMPLOGP00001380,1.27
CMPLOGP00001381,1.27
CMPLOGP00001382,1.27
CMPLOGP00001383,1.27
CMPLOGP00001384,1.27
CMPLOGP00001385,1.28
CMPLOGP00001386,1.28
CMPLOGP00001387,1.28
CMPLOGP00001388,1.28
CMPLOGP00001389,1.28
CMPLOGP00001390,1.28
CMPLOGP00001391,1.28
CMPLOGP00001392,1.28
CMPLOGP00001393,1.28
CMPLOGP00001394,1.29
CMPLOGP00001395,1.29
CMPLOGP00001396,1.29
CMPLOGP00001397,1.29
CMPLOGP00001398,1.29
CMPLOGP00001399,1.29
CMPLOGP00001400,1.29
CMPLOGP00001401,1.29
CMPLOGP00001402,1.29
CMPLOGP00001403,1.29
CMPLOGP00001404,1.3
CMPLOGP00001405,1.3
CMPLOGP00001406,1.3
CMPLOGP00001407,1.3
CMPLOGP00001408,1.3
CMPLOGP00001409,1.3
CMPLOGP00001410,1.3
CMPLOGP00001411,1.3
CMPLOGP00001412,1.3
CMPLOGP00001413,1.3
CMPLOGP00001414,1.3
CMPLOGP00001415,1.3
CMPLOGP00001416,1.3
CMPLOGP00001417,1.3
CMPLOGP00001418,1.3
CMPLOGP00001419,1.3
CMPLOGP00001420,1.3
CMPLOGP00001421,1.31
CMPLOGP00001422,1.31
CMPLOGP00001423,1.31
CMPLOGP00001424,1.31
CMPLOGP00001425,1.31
CMPLOGP00001426,1.31
CMPLOGP00001427,1.31
CMPLOGP00001428,1.32
CMPLOGP00001429,1.32
CMPLOGP00001430,1.32
CMPLOGP00001431,1.32
CMPLOGP00001432,1.32
CMPLOGP00001433,1.32
CMPLOGP00001434,1.32
CMPLOGP00001435,1.32
CMPLOGP00001436,1.32
CMPLOGP00001437,1.32
CMPLOGP00001438,1.33
CMPLOGP00001439,1.33
CMPLOGP00001440,1.33
CMPLOGP00001441,1.33
CMPLOGP00001442,1.33
CMPLOGP00001443,1.33
CMPLOGP00001444,1.34
CMPLOGP00001445,1.34
CMPLOGP00001446,1.34
CMPLOGP00001447,1.34
CMPLOGP00001448,1.35
CMPLOGP00001449,1.35
CMPLOGP00001450,1.35
CMPLOGP00001451,1.35
CMPLOGP00001452,1.35
CMPLOGP00001453,1.35
CMPLOGP00001454,1.35
CMPLOGP00001455,1.35
CMPLOGP00001456,1.36
CMPLOGP00001457,1.36
CMPLOGP00001458,1.36
CMPLOGP00001459,1.36
CMPLOGP00001460,1.36
CMPLOGP00001461,1.36
CMPLOGP00001462,1.36
CMPLOGP00001463,1.36
CMPLOGP00001464,1.36
CMPLOGP00001465,1.37
CMPLOGP00001466,1.37
CMPLOGP00001467,1.37
CMPLOGP00001468,1.37
CMPLOGP00001469,1.38
CMPLOGP00001470,1.38
CMPLOGP00001471,1.38
CMPLOGP00001472,1.38
CMPLOGP00001473,1.38
CMPLOGP00001474,1.39
CMPLOGP00001475,1.39
CMPLOGP00001476,1.39
CMPLOGP00001477,1.39
CMPLOGP00001478,1.39
CMPLOGP00001479,1.4
CMPLOGP00001480,1.4
CMPLOGP00001481,1.4
CMPLOGP00001482,1.4
CMPLOGP00001483,1.4
CMPLOGP00001484,1.4
CMPLOGP00001485,1.4
CMPLOGP00001486,1.4
CMPLOGP00001487,1.4
CMPLOGP00001488,1.4
CMPLOGP00001489,1.4
CMPLOGP00001490,1.4
CMPLOGP00001491,1.4
CMPLOGP00001492,1.4
CMPLOGP00001493,1.4
CMPLOGP00001494,1.4
CMPLOGP00001495,1.41
CMPLOGP00001496,1.41
CMPLOGP00001497,1.41
CMPLOGP00001498,1.41
CMPLOGP00001499,1.41
CMPLOGP00001500,1.41
CMPLOGP00001501,1.41
CMPLOGP00001502,1.41
CMPLOGP00001503,1.41
CMPLOGP00001504,1.41
CMPLOGP00001505,1.4131
CMPLOGP00001506,1.42
CMPLOGP00001507,1.42
CMPLOGP00001508,1.42
CMPLOGP00001509,1.42
CMPLOGP00001510,1.42
CMPLOGP00001511,1.42
CMPLOGP00001512,1.42
CMPLOGP00001513,1.42
CMPLOGP00001514,1.42
CMPLOGP00001515,1.42
CMPLOGP00001516,1.425
CMPLOGP00001517,1.43
CMPLOGP00001518,1.43
CMPLOGP00001519,1.43
CMPLOGP00001520,1.43
CMPLOGP00001521,1.43
CMPLOGP00001522,1.43
CMPLOGP00001523,1.433
CMPLOGP00001524,1.44
CMPLOGP00001525,1.44
CMPLOGP00001526,1.44
CMPLOGP00001527,1.44
CMPLOGP00001528,1.44
CMPLOGP00001529,1.44
CMPLOGP00001530,1.44
CMPLOGP00001531,1.45
CMPLOGP00001532,1.45
CMPLOGP00001533,1.45
CMPLOGP00001534,1.45
CMPLOGP00001535,1.45
CMPLOGP00001536,1.45
CMPLOGP00001537,1.45
CMPLOGP00001538,1.45
CMPLOGP00001539,1.45
CMPLOGP00001540,1.45
CMPLOGP00001541,1.45
CMPLOGP00001542,1.452
CMPLOGP00001543,1.46
CMPLOGP00001544,1.46
CMPLOGP00001545,1.46
CMPLOGP00001546,1.46
CMPLOGP00001547,1.46
CMPLOGP00001548,1.46
CMPLOGP00001549,1.46
CMPLOGP00001550,1.46
CMPLOGP00001551,1.46
CMPLOGP00001552,1.46
CMPLOGP00001553,1.46
CMPLOGP00001554,1.46
CMPLOGP00001555,1.46
CMPLOGP00001556,1.46
CMPLOGP00001557,1.46
CMPLOGP00001558,1.47
CMPLOGP00001559,1.48
CMPLOGP00001560,1.48
CMPLOGP00001561,1.48
CMPLOGP00001562,1.48
CMPLOGP00001563,1.48
CMPLOGP00001564,1.48
CMPLOGP00001565,1.48
CMPLOGP00001566,1.48
CMPLOGP00001567,1.48
CMPLOGP00001568,1.48
CMPLOGP00001569,1.48
CMPLOGP00001570,1.48
CMPLOGP00001571,1.4839
CMPLOGP00001572,1.49
CMPLOGP00001573,1.49
CMPLOGP00001574,1.49
CMPLOGP00001575,1.49
CMPLOGP00001576,1.49
CMPLOGP00001577,1.49
CMPLOGP00001578,1.49
CMPLOGP00001579,1.49
CMPLOGP00001580,1.49
CMPLOGP00001581,1.49
CMPLOGP00001582,1.49
CMPLOGP00001583,1.5
CMPLOGP00001584,1.5
CMPLOGP00001585,1.5
CMPLOGP00001586,1.5
CMPLOGP00001587,1.5
CMPLOGP00001588,1.5
CMPLOGP00001589,1.5
CMPLOGP00001590,1.5
CMPLOGP00001591,1.5
CMPLOGP00001592,1.5
CMPLOGP00001593,1.5
CMPLOGP00001594,1.5
CMPLOGP00001595,1.5
CMPLOGP00001596,1.5
CMPLOGP00001597,1.5
CMPLOGP00001598,1.5
CMPLOGP00001599,1.5
CMPLOGP00001600,1.5
CMPLOGP00001601,1.5
CMPLOGP00001602,1.5
CMPLOGP00001603,1.5
CMPLOGP00001604,1.5
CMPLOGP00001605,1.5
CMPLOGP00001606,1.508
CMPLOGP00001607,1.508
CMPLOGP00001608,1.51
CMPLOGP00001609,1.51
CMPLOGP00001610,1.51
CMPLOGP00001611,1.51
CMPLOGP00001612,1.52
CMPLOGP00001613,1.52
CMPLOGP00001614,1.52
CMPLOGP00001615,1.52
CMPLOGP00001616,1.52
CMPLOGP00001617,1.52
CMPLOGP00001618,1.52
CMPLOGP00001619,1.52
CMPLOGP00001620,1.523
CMPLOGP00001621,1.53
CMPLOGP00001622,1.53
CMPLOGP00001623,1.53
CMPLOGP00001624,1.53
CMPLOGP00001625,1.53
CMPLOGP00001626,1.53
CMPLOGP00001627,1.53
CMPLOGP00001628,1.53
CMPLOGP00001629,1.53
CMPLOGP00001630,1.53
CMPLOGP00001631,1.53
CMPLOGP00001632,1.53
CMPLOGP00001633,1.53
CMPLOGP00001634,1.54
CMPLOGP00001635,1.54
CMPLOGP00001636,1.54
CMPLOGP00001637,1.54
CMPLOGP00001638,1.54
CMPLOGP00001639,1.54
CMPLOGP00001640,1.54
CMPLOGP00001641,1.55
CMPLOGP00001642,1.55
CMPLOGP00001643,1.55
CMPLOGP00001644,1.55
CMPLOGP00001645,1.55
CMPLOGP00001646,1.55
CMPLOGP00001647,1.55
CMPLOGP00001648,1.55
CMPLOGP00001649,1.55
CMPLOGP00001650,1.554
CMPLOGP00001651,1.56
CMPLOGP00001652,1.56
CMPLOGP00001653,1.56
CMPLOGP00001654,1.56
CMPLOGP00001655,1.56
CMPLOGP00001656,1.56
CMPLOGP00001657,1.56
CMPLOGP00001658,1.56
CMPLOGP00001659,1.57
CMPLOGP00001660,1.57
CMPLOGP00001661,1.57
CMPLOGP00001662,1.57
CMPLOGP00001663,1.57
CMPLOGP00001664,1.57
CMPLOGP00001665,1.57
CMPLOGP00001666,1.58
CMPLOGP00001667,1.58
CMPLOGP00001668,1.58
CMPLOGP00001669,1.58
CMPLOGP00001670,1.58
CMPLOGP00001671,1.58
CMPLOGP00001672,1.58
CMPLOGP00001673,1.58
CMPLOGP00001674,1.58
CMPLOGP00001675,1.58
CMPLOGP00001676,1.58
CMPLOGP00001677,1.58
CMPLOGP00001678,1.58
CMPLOGP00001679,1.59
CMPLOGP00001680,1.59
CMPLOGP00001681,1.59
CMPLOGP00001682,1.59
CMPLOGP00001683,1.59
CMPLOGP00001684,1.59
CMPLOGP00001685,1.6
CMPLOGP00001686,1.6
CMPLOGP00001687,1.6
CMPLOGP00001688,1.6
CMPLOGP00001689,1.6
CMPLOGP00001690,1.6
CMPLOGP00001691,1.6
CMPLOGP00001692,1.6
CMPLOGP00001693,1.6
CMPLOGP00001694,1.6
CMPLOGP00001695,1.6
CMPLOGP00001696,1.6
CMPLOGP00001697,1.6
CMPLOGP00001698,1.6
CMPLOGP00001699,1.6
CMPLOGP00001700,1.6
CMPLOGP00001701,1.6
CMPLOGP00001702,1.6
CMPLOGP00001703,1.61
CMPLOGP00001704,1.61
CMPLOGP00001705,1.61
CMPLOGP00001706,1.61
CMPLOGP00001707,1.61
CMPLOGP00001708,1.61
CMPLOGP00001709,1.61
CMPLOGP00001710,1.61
CMPLOGP00001711,1.61
CMPLOGP00001712,1.62
CMPLOGP00001713,1.62
CMPLOGP00001714,1.62
CMPLOGP00001715,1.63
CMPLOGP00001716,1.63
CMPLOGP00001717,1.63
CMPLOGP00001718,1.63
CMPLOGP00001719,1.63
CMPLOGP00001720,1.63
CMPLOGP00001721,1.64
CMPLOGP00001722,1.64
CMPLOGP00001723,1.64
CMPLOGP00001724,1.64
CMPLOGP00001725,1.64
CMPLOGP00001726,1.64
CMPLOGP00001727,1.64
CMPLOGP00001728,1.64
CMPLOGP00001729,1.64
CMPLOGP00001730,1.64
CMPLOGP00001731,1.64
CMPLOGP00001732,1.64
CMPLOGP00001733,1.645
CMPLOGP00001734,1.65
CMPLOGP00001735,1.65
CMPLOGP00001736,1.65
CMPLOGP00001737,1.65
CMPLOGP00001738,1.65
CMPLOGP00001739,1.65
CMPLOGP00001740,1.65
CMPLOGP00001741,1.65
CMPLOGP00001742,1.65
CMPLOGP00001743,1.66
CMPLOGP00001744,1.66
CMPLOGP00001745,1.66
CMPLOGP00001746,1.66
CMPLOGP00001747,1.66
CMPLOGP00001748,1.66
CMPLOGP00001749,1.66
CMPLOGP00001750,1.66
CMPLOGP00001751,1.66
CMPLOGP00001752,1.66
CMPLOGP00001753,1.66
CMPLOGP00001754,1.67
CMPLOGP00001755,1.67
CMPLOGP00001756,1.67
CMPLOGP00001757,1.67
CMPLOGP00001758,1.67
CMPLOGP00001759,1.67
CMPLOGP00001760,1.67
CMPLOGP00001761,1.67
CMPLOGP00001762,1.67
CMPLOGP00001763,1.67
CMPLOGP00001764,1.67
CMPLOGP00001765,1.67
CMPLOGP00001766,1.67
CMPLOGP00001767,1.67
CMPLOGP00001768,1.68
CMPLOGP00001769,1.68
CMPLOGP00001770,1.68
CMPLOGP00001771,1.68
CMPLOGP00001772,1.68
CMPLOGP00001773,1.68
CMPLOGP00001774,1.68
CMPLOGP00001775,1.68
CMPLOGP00001776,1.68
CMPLOGP00001777,1.68
CMPLOGP00001778,1.68
CMPLOGP00001779,1.688
CMPLOGP00001780,1.688
CMPLOGP00001781,1.69
CMPLOGP00001782,1.69
CMPLOGP00001783,1.69
CMPLOGP00001784,1.69
CMPLOGP00001785,1.69
CMPLOGP00001786,1.69
CMPLOGP00001787,1.69
CMPLOGP00001788,1.69
CMPLOGP00001789,1.69
CMPLOGP00001790,1.7
CMPLOGP00001791,1.7
CMPLOGP00001792,1.7
CMPLOGP00001793,1.7
CMPLOGP00001794,1.7
CMPLOGP00001795,1.7
CMPLOGP00001796,1.7
CMPLOGP00001797,1.7
CMPLOGP00001798,1.7
CMPLOGP00001799,1.7
CMPLOGP00001800,1.7
CMPLOGP00001801,1.7
CMPLOGP00001802,1.7
CMPLOGP00001803,1.7
CMPLOGP00001804,1.7
CMPLOGP00001805,1.7
CMPLOGP00001806,1.7
CMPLOGP00001807,1.7
CMPLOGP00001808,1.7
CMPLOGP00001809,1.7
CMPLOGP00001810,1.7
CMPLOGP00001811,1.7
CMPLOGP00001812,1.7
CMPLOGP00001813,1.7
CMPLOGP00001814,1.71
CMPLOGP00001815,1.71
CMPLOGP00001816,1.71
CMPLOGP00001817,1.71
CMPLOGP00001818,1.71
CMPLOGP00001819,1.71
CMPLOGP00001820,1.71
CMPLOGP00001821,1.71
CMPLOGP00001822,1.71
CMPLOGP00001823,1.72
CMPLOGP00001824,1.72
CMPLOGP00001825,1.72
CMPLOGP00001826,1.72
CMPLOGP00001827,1.72
CMPLOGP00001828,1.72
CMPLOGP00001829,1.72
CMPLOGP00001830,1.72
CMPLOGP00001831,1.72
CMPLOGP00001832,1.72
CMPLOGP00001833,1.72
CMPLOGP00001834,1.72
CMPLOGP00001835,1.72
CMPLOGP00001836,1.73
CMPLOGP00001837,1.73
CMPLOGP00001838,1.73
CMPLOGP00001839,1.73
CMPLOGP00001840,1.73
CMPLOGP00001841,1.73
CMPLOGP00001842,1.73
CMPLOGP00001843,1.73
CMPLOGP00001844,1.73
CMPLOGP00001845,1.73
CMPLOGP00001846,1.73
