Molecule,LogP_chembl
CMPLOGP00000201,-0.76
CMPLOGP00000202,-0.75
CMPLOGP00000203,-0.74
CMPLOGP00000204,-0.72
CMPLOGP00000205,-0.72
CMPLOGP00000206,-0.72
CMPLOGP00000207,-0.72
CMPLOGP00000208,-0.71
CMPLOGP00000209,-0.71
CMPLOGP00000210,-0.71
CMPLOGP00000211,-0.71
CMPLOGP00000212,-0.701
CMPLOGP00000213,-0.7
CMPLOGP00000214,-0.7
CMPLOGP00000215,-0.7
CMPLOGP00000216,-0.699
CMPLOGP00000217,-0.686
CMPLOGP00000218,-0.68
CMPLOGP00000219,-0.68
CMPLOGP00000220,-0.665
CMPLOGP00000221,-0.66
CMPLOGP00000222,-0.66
CMPLOGP00000223,-0.66
CMPLOGP00000224,-0.652
CMPLOGP00000225,-0.65
CMPLOGP00000226,-0.65
CMPLOGP00000227,-0.64
CMPLOGP00000228,-0.64
CMPLOGP00000229,-0.63
CMPLOGP00000230,-0.63
CMPLOGP00000231,-0.63
CMPLOGP00000232,-0.61
CMPLOGP00000233,-0.606
CMPLOGP00000234,-0.6
CMPLOGP00000235,-0.6
CMPLOGP00000236,-0.6
CMPLOGP00000237,-0.59
CMPLOGP00000238,-0.59
CMPLOGP00000239,-0.58
CMPLOGP00000240,-0.58
CMPLOGP00000241,-0.575
CMPLOGP00000242,-0.574
CMPLOGP00000243,-0.57
CMPLOGP00000244,-0.57
CMPLOGP00000245,-0.57
CMPLOGP00000246,-0.57
CMPLOGP00000247,-0.56
CMPLOGP00000248,-0.56
CMPLOGP00000249,-0.56
CMPLOGP00000250,-0.56
CMPLOGP00000251,-0.55
CMPLOGP00000252,-0.55
CMPLOGP00000253,-0.55
CMPLOGP00000254,-0.55
CMPLOGP00000255,-0.54
CMPLOGP00000256,-0.54
CMPLOGP00000257,-0.54
CMPLOGP00000258,-0.54
CMPLOGP00000259,-0.539
CMPLOGP00000260,-0.53
CMPLOGP00000261,-0.53
CMPLOGP00000262,-0.53
CMPLOGP00000263,-0.52
CMPLOGP00000264,-0.52
CMPLOGP00000265,-0.51
CMPLOGP00000266,-0.51
CMPLOGP00000267,-0.5
CMPLOGP00000268,-0.5
CMPLOGP00000269,-0.49
CMPLOGP00000270,-0.49
CMPLOGP00000271,-0.49
CMPLOGP00000272,-0.48
CMPLOGP00000273,-0.48
CMPLOGP00000274,-0.48
CMPLOGP00000275,-0.48
CMPLOGP00000276,-0.47
CMPLOGP00000277,-0.47
CMPLOGP00000278,-0.47
CMPLOGP00000279,-0.47
CMPLOGP00000280,-0.47
CMPLOGP00000281,-0.46
CMPLOGP00000282,-0.46
CMPLOGP00000283,-0.46
CMPLOGP00000284,-0.453
CMPLOGP00000285,-0.451
CMPLOGP00000286,-0.45
CMPLOGP00000287,-0.45
CMPLOGP00000288,-0.45
CMPLOGP00000289,-0.44
CMPLOGP00000290,-0.44
CMPLOGP00000291,-0.44
CMPLOGP00000292,-0.44
CMPLOGP00000293,-0.43
CMPLOGP00000294,-0.43
CMPLOGP00000295,-0.43
CMPLOGP00000296,-0.42
CMPLOGP00000297,-0.42
CMPLOGP00000298,-0.42
CMPLOGP00000299,-0.42
CMPLOGP00000300,-0.414
CMPLOGP00000301,-0.41
CMPLOGP00000302,-0.41
CMPLOGP00000303,-0.4
CMPLOGP00000304,-0.4
CMPLOGP00000305,-0.395
CMPLOGP00000306,-0.39
CMPLOGP00000307,-0.39
CMPLOGP00000308,-0.39
CMPLOGP00000309,-0.38
CMPLOGP00000310,-0.38
CMPLOGP00000311,-0.38
CMPLOGP00000312,-0.38
CMPLOGP00000313,-0.37
CMPLOGP00000314,-0.37
CMPLOGP00000315,-0.37
CMPLOGP00000316,-0.36
CMPLOGP00000317,-0.36
CMPLOGP00000318,-0.36
CMPLOGP00000319,-0.36
CMPLOGP00000320,-0.35
CMPLOGP00000321,-0.35
CMPLOGP00000322,-0.34
CMPLOGP00000323,-0.34
CMPLOGP00000324,-0.34
CMPLOGP00000325,-0.33
CMPLOGP00000326,-0.33
CMPLOGP00000327,-0.31
CMPLOGP00000328,-0.31
CMPLOGP00000329,-0.31
CMPLOGP00000330,-0.301
CMPLOGP00000331,-0.3
CMPLOGP00000332,-0.3
CMPLOGP00000333,-0.3
CMPLOGP00000334,-0.3
CMPLOGP00000335,-0.3
CMPLOGP00000336,-0.3
CMPLOGP00000337,-0.29
