Kin-Method,MSE,MAE,R2,Emission(kW)
RDKitECFPMorganFP/AKT3_DNN,1.509698,0.906506,-0.976531,2.121284e-06
RDKitECFPMorganFP/ALK_Linear-SVR,0.644547,0.640288,0.197624,1.311962e-09
RDKitECFPMorganFP/ALK_RBF-SVR,0.573443,0.604248,0.286139,1.538989e-09
RDKitECFPMorganFP/ALK_DecisionTree,0.724195,0.677610,0.098473,9.084794e-10
RDKitECFPMorganFP/ALK_ExtraTrees,0.655034,0.647126,0.184569,1.195429e-07
RDKitECFPMorganFP/ALK_RandomForest,0.628035,0.635931,0.218180,9.540016e-08
RDKitECFPMorganFP/ALK_KNeighbors,0.698349,0.635666,0.130648,7.281118e-10
RDKitECFPMorganFP/ALK_PLS,0.555679,0.598459,0.308254,3.727725e-08
RDKitECFPMorganFP/ALK_PLS-SKLEARN,0.564818,0.597477,0.296876,5.066114e-09
RDKitECFPMorganFP/ALK_XGBoost,0.775319,0.737448,0.034831,6.195349e-07
RDKitECFPMorganFP/ALK_CatBoost,0.582703,0.622252,0.274612,5.991975e-07
RDKitECFPMorganFP/ALK_DNN,0.918490,0.749329,-0.143398,2.930030e-06
RDKitECFPMorganFP/AXL_Linear-SVR,0.621011,0.633296,0.204214,6.975326e-10
RDKitECFPMorganFP/AXL_RBF-SVR,0.454742,0.544644,0.417277,6.976469e-10
RDKitECFPMorganFP/AXL_DecisionTree,0.609509,0.572175,0.218952,6.172066e-10
RDKitECFPMorganFP/AXL_ExtraTrees,0.660691,0.664090,0.153367,6.728206e-08
RDKitECFPMorganFP/AXL_RandomForest,0.495332,0.575124,0.365263,6.798892e-08
RDKitECFPMorganFP/AXL_KNeighbors,0.669936,0.685949,0.141519,7.466250e-10
RDKitECFPMorganFP/AXL_PLS,0.541205,0.598144,0.306479,1.724623e-08
RDKitECFPMorganFP/AXL_PLS-SKLEARN,0.486836,0.555942,0.376151,3.337138e-09
RDKitECFPMorganFP/AXL_XGBoost,0.633132,0.635025,0.188681,3.703195e-07
RDKitECFPMorganFP/AXL_CatBoost,0.527602,0.568400,0.323911,5.436330e-07
RDKitECFPMorganFP/AXL_DNN,0.664650,0.678765,0.148293,2.114158e-06
RDKitECFPMorganFP/BLK_Linear-SVR,0.448199,0.519589,0.234749,7.769533e-10
RDKitECFPMorganFP/BLK_RBF-SVR,0.373352,0.476097,0.362542,9.383749e-10
RDKitECFPMorganFP/BLK_DecisionTree,0.675264,0.610681,-0.152940,6.901536e-10
RDKitECFPMorganFP/BLK_ExtraTrees,0.463966,0.518031,0.207829,8.461829e-08
RDKitECFPMorganFP/BLK_RandomForest,0.388294,0.482620,0.337030,7.907151e-08
RDKitECFPMorganFP/BLK_KNeighbors,0.536885,0.613826,0.083327,6.366705e-10
RDKitECFPMorganFP/BLK_PLS,0.395177,0.502916,0.325277,2.430866e-08
RDKitECFPMorganFP/BLK_PLS-SKLEARN,0.443053,0.546024,0.243536,3.938286e-09
RDKitECFPMorganFP/BLK_XGBoost,0.492260,0.507284,0.159519,4.826750e-07
RDKitECFPMorganFP/BLK_CatBoost,0.387425,0.482835,0.338514,6.051895e-07
RDKitECFPMorganFP/BLK_DNN,0.449330,0.532750,0.232817,2.550495e-06
RDKitECFPMorganFP/BTK_Linear-SVR,0.869842,0.732742,0.233029,6.328744e-10
RDKitECFPMorganFP/BTK_RBF-SVR,0.894082,0.755473,0.211656,7.206000e-10
RDKitECFPMorganFP/BTK_DecisionTree,1.346956,0.870462,-0.187660,5.849292e-10
RDKitECFPMorganFP/BTK_ExtraTrees,0.901005,0.742301,0.205551,6.719202e-08
RDKitECFPMorganFP/BTK_RandomForest,0.868053,0.756301,0.234606,6.848800e-08
RDKitECFPMorganFP/BTK_KNeighbors,0.925722,0.785193,0.183757,6.142088e-10
RDKitECFPMorganFP/BTK_PLS,0.778164,0.684097,0.313865,1.733632e-08
RDKitECFPMorganFP/BTK_PLS-SKLEARN,0.785512,0.682957,0.307386,3.633967e-09
RDKitECFPMorganFP/BTK_XGBoost,1.203362,0.854733,-0.061048,3.626843e-07
RDKitECFPMorganFP/BTK_CatBoost,0.836278,0.739889,0.262624,5.724330e-07
RDKitECFPMorganFP/BTK_DNN,1.582322,1.008083,-0.395191,2.103354e-06
RDKitECFPMorganFP/CAMK1D_Linear-SVR,0.586227,0.627242,0.065793,5.255283e-10
RDKitECFPMorganFP/CAMK1D_RBF-SVR,0.474615,0.604416,0.243657,5.476917e-10
RDKitECFPMorganFP/CAMK1D_DecisionTree,0.739274,0.574625,-0.178102,4.533294e-10
RDKitECFPMorganFP/CAMK1D_ExtraTrees,0.960731,0.743911,-0.531014,5.841596e-08
RDKitECFPMorganFP/CAMK1D_RandomForest,0.711563,0.645138,-0.133943,5.973259e-08
RDKitECFPMorganFP/CAMK1D_KNeighbors,1.182604,0.983109,-0.884591,4.592358e-10
RDKitECFPMorganFP/CAMK1D_PLS,0.593438,0.618754,0.054302,1.060889e-08
RDKitECFPMorganFP/CAMK1D_PLS-SKLEARN,0.593295,0.617484,0.054529,3.030653e-09
RDKitECFPMorganFP/CAMK1D_XGBoost,0.808457,0.690737,-0.288353,2.456419e-07
RDKitECFPMorganFP/CAMK1D_CatBoost,0.568380,0.558527,0.094233,6.223525e-07
RDKitECFPMorganFP/CAMK1D_DNN,1.326897,0.885876,-1.114535,2.077772e-06
RDKitECFPMorganFP/CAMK1_Linear-SVR,0.281131,0.416423,0.156974,3.939578e-10
RDKitECFPMorganFP/CAMK1_RBF-SVR,0.236521,0.365597,0.290745,5.014246e-10
RDKitECFPMorganFP/CAMK1_DecisionTree,1.093779,0.772996,-2.279909,5.083909e-10
RDKitECFPMorganFP/CAMK1_ExtraTrees,0.323784,0.455311,0.029070,5.123013e-08
RDKitECFPMorganFP/CAMK1_RandomForest,0.334216,0.433667,-0.002212,5.753804e-08
RDKitECFPMorganFP/CAMK1_KNeighbors,0.325807,0.443692,0.023005,3.659583e-10
RDKitECFPMorganFP/CAMK1_PLS,0.271345,0.408456,0.186319,6.360646e-09
RDKitECFPMorganFP/CAMK1_PLS-SKLEARN,0.276531,0.409152,0.170769,2.723709e-09
RDKitECFPMorganFP/CAMK1_XGBoost,0.536531,0.504422,-0.608893,1.729332e-07
RDKitECFPMorganFP/CAMK1_CatBoost,0.270163,0.386008,0.189865,4.890425e-07
RDKitECFPMorganFP/CAMK1_DNN,0.457409,0.574628,-0.371631,1.932707e-06
RDKitECFPMorganFP/CAMK2A_Linear-SVR,0.629656,0.638923,0.119684,5.049970e-10
RDKitECFPMorganFP/CAMK2A_RBF-SVR,0.587453,0.613670,0.178688,4.539087e-10
RDKitECFPMorganFP/CAMK2A_DecisionTree,0.643068,0.597328,0.100933,4.975815e-10
RDKitECFPMorganFP/CAMK2A_ExtraTrees,0.589013,0.590967,0.176507,5.567596e-08
RDKitECFPMorganFP/CAMK2A_RandomForest,0.629921,0.649463,0.119313,5.927097e-08
RDKitECFPMorganFP/CAMK2A_KNeighbors,0.838181,0.774417,-0.171852,3.590072e-10
RDKitECFPMorganFP/CAMK2A_PLS,0.591141,0.619605,0.173532,1.012681e-08
RDKitECFPMorganFP/CAMK2A_PLS-SKLEARN,0.591141,0.619605,0.173532,2.769365e-09
RDKitECFPMorganFP/CAMK2A_XGBoost,1.059787,0.886116,-0.481678,2.395451e-07
RDKitECFPMorganFP/CAMK2A_CatBoost,0.531269,0.557985,0.257237,5.141448e-07
RDKitECFPMorganFP/CAMK2A_DNN,1.366505,0.937646,-0.910498,2.013551e-06
RDKitECFPMorganFP/CAMK2B_Linear-SVR,0.217884,0.362114,-0.389084,8.485629e-10
RDKitECFPMorganFP/CAMK2B_RBF-SVR,0.151609,0.322033,0.033444,1.028607e-09
RDKitECFPMorganFP/CAMK2B_DecisionTree,0.286483,0.364179,-0.826423,7.063977e-10
RDKitECFPMorganFP/CAMK2B_ExtraTrees,0.213244,0.362184,-0.359500,8.577738e-08
RDKitECFPMorganFP/CAMK2B_RandomForest,0.209278,0.369063,-0.334218,8.018246e-08
RDKitECFPMorganFP/CAMK2B_KNeighbors,0.166910,0.349720,-0.064109,6.388108e-10
RDKitECFPMorganFP/CAMK2B_PLS,0.189674,0.347789,-0.209233,2.667501e-08
RDKitECFPMorganFP/CAMK2B_PLS-SKLEARN,0.189674,0.347789,-0.209233,4.309159e-09
RDKitECFPMorganFP/CAMK2B_XGBoost,0.276745,0.414032,-0.764343,5.127429e-07
RDKitECFPMorganFP/CAMK2B_CatBoost,0.144162,0.310113,0.080922,6.499341e-07
RDKitECFPMorganFP/CAMK2B_DNN,0.464981,0.510525,-1.964413,2.512932e-06
RDKitECFPMorganFP/CAMK2D_Linear-SVR,0.381925,0.499432,-0.250617,1.214515e-09
RDKitECFPMorganFP/CAMK2D_RBF-SVR,0.318152,0.469555,-0.041792,1.395699e-09
RDKitECFPMorganFP/CAMK2D_DecisionTree,0.358712,0.452547,-0.174607,6.847679e-10
RDKitECFPMorganFP/CAMK2D_ExtraTrees,0.488754,0.543016,-0.600431,1.113935e-07
RDKitECFPMorganFP/CAMK2D_RandomForest,0.330620,0.464529,-0.082618,9.168971e-08
